"Pathway","KO","protein_id","gene","product","Description"
"map00620","K18118","WP_205251177.1","QSJ49_RS00090","acetyl-CoA hydrolase/transferase family protein","Pyruvate metabolism"
"map00620","K00626","WP_205251681.1","QSJ49_RS05135","thiolase family protein","Pyruvate metabolism"
"map00620","K00626","WP_205251599.1","QSJ49_RS04155","thiolase domain-containing protein","Pyruvate metabolism"
"map00620","K11263","WP_205250846.1","QSJ49_RS07545","acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha","Pyruvate metabolism"
"map00620","K00175","WP_010902808.1","QSJ49_RS05910","thiamine pyrophosphate-dependent enzyme","Pyruvate metabolism"
"map00625","K00128","WP_010903877.1","QSJ49_RS01040","aldehyde dehydrogenase family protein","Chloroalkane and chloroalkene degradation"
"map00630","K27802","WP_010903922.1","QSJ49_RS01285","aconitate hydratase","Glyoxylate and dicarboxylate metabolism"
"map00630","K01433","WP_205251027.1","QSJ49_RS09190","formyltransferase family protein","Glyoxylate and dicarboxylate metabolism"
"map00630","K00605","WP_205250875.1","QSJ49_RS07820","glycine cleavage system aminomethyltransferase GcvT","Glyoxylate and dicarboxylate metabolism"
"map00630","K01895","WP_136361311.1","QSJ49_RS05375","acetate--CoA ligase","Glyoxylate and dicarboxylate metabolism"
"map00630","K05606","WP_205251509.1","QSJ49_RS03345","methylmalonyl-CoA epimerase","Glyoxylate and dicarboxylate metabolism"
"map00630","K00382","WP_205251148.1","QSJ49_RS10320","dihydrolipoyl dehydrogenase","Glyoxylate and dicarboxylate metabolism"
"map00630","K00283","WP_235262944.1","QSJ49_RS07805","aminomethyl-transferring glycine dehydrogenase subunit GcvPB","Glyoxylate and dicarboxylate metabolism"
"map00630","K19268","WP_205251174.1","QSJ49_RS00075","methylaspartate mutase subunit E","Glyoxylate and dicarboxylate metabolism"
"map00630","K01091","WP_205250949.1","QSJ49_RS08500","HAD family hydrolase","Glyoxylate and dicarboxylate metabolism"
"map00630","K00626","WP_205251681.1","QSJ49_RS05135","thiolase family protein","Glyoxylate and dicarboxylate metabolism"
"map00630","K02437","WP_010903167.1","QSJ49_RS07815","glycine cleavage system protein GcvH","Glyoxylate and dicarboxylate metabolism"
"map00630","K00282","WP_338416949.1","QSJ49_RS07810","aminomethyl-transferring glycine dehydrogenase subunit GcvPA","Glyoxylate and dicarboxylate metabolism"
"map00630","K01848","WP_205251590.1","QSJ49_RS04055","methylmalonyl-CoA mutase family protein","Glyoxylate and dicarboxylate metabolism"
"map00630","K01895","WP_205251514.1","QSJ49_RS03370","AMP-binding protein","Glyoxylate and dicarboxylate metabolism"
"map00630","K01915","WP_205251098.1","QSJ49_RS09770","type I glutamate--ammonia ligase","Glyoxylate and dicarboxylate metabolism"
"map00630","K01091","WP_012289340.1","QSJ49_RS07345","HAD hydrolase-like protein","Glyoxylate and dicarboxylate metabolism"
"map00630","K01849","WP_010902462.1","QSJ49_RS04135","cobalamin B12-binding domain-containing protein","Glyoxylate and dicarboxylate metabolism"
"map00630","K01848","WP_205251511.1","QSJ49_RS03355","methylmalonyl-CoA mutase family protein","Glyoxylate and dicarboxylate metabolism"
"map00630","K00605","WP_205251308.1","QSJ49_RS01565","aminomethyltransferase family protein","Glyoxylate and dicarboxylate metabolism"
"map00630","K01846","WP_205251173.1","QSJ49_RS00070","methylaspartate mutase subunit S","Glyoxylate and dicarboxylate metabolism"
"map00630","K22223","WP_205251615.1","QSJ49_RS04310","phosphoglycolate phosphatase","Glyoxylate and dicarboxylate metabolism"
"map00630","K01659","WP_205251101.1","QSJ49_RS09815","citrate synthase","Glyoxylate and dicarboxylate metabolism"
"map00630","K11263","WP_205250846.1","QSJ49_RS07545","acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha","Glyoxylate and dicarboxylate metabolism"
"map00630","K04835","WP_205251175.1","QSJ49_RS00080","methylaspartate ammonia-lyase","Glyoxylate and dicarboxylate metabolism"
"map00630","K00600","WP_205250791.1","QSJ49_RS07085","serine hydroxymethyltransferase","Glyoxylate and dicarboxylate metabolism"
"map00630","K00626","WP_205251599.1","QSJ49_RS04155","thiolase domain-containing protein","Glyoxylate and dicarboxylate metabolism"
"map00640","K05606","WP_205251509.1","QSJ49_RS03345","methylmalonyl-CoA epimerase","Propanoate metabolism"
"map00640","K00005","WP_010904127.1","QSJ49_RS11770","glycerol dehydrogenase","Propanoate metabolism"
"map00640","K01848","WP_205251590.1","QSJ49_RS04055","methylmalonyl-CoA mutase family protein","Propanoate metabolism"
"map00640","K01026","WP_205250718.1","QSJ49_RS11690","acyl CoA:acetate/3-ketoacid CoA transferase","Propanoate metabolism"
"map00640","K01895","WP_205251514.1","QSJ49_RS03370","AMP-binding protein","Propanoate metabolism"
"map00640","K01895","WP_136361311.1","QSJ49_RS05375","acetate--CoA ligase","Propanoate metabolism"
"map00640","K01903","WP_012289349.1","QSJ49_RS07585","ADP-forming succinate--CoA ligase subunit beta","Propanoate metabolism"
"map00640","K00248","WP_010903082.1","QSJ49_RS07355","acyl-CoA dehydrogenase family protein","Propanoate metabolism"
"map00640","K01849","WP_010902462.1","QSJ49_RS04135","cobalamin B12-binding domain-containing protein","Propanoate metabolism"
"map00640","K00248","WP_205251601.1","QSJ49_RS04165","acyl-CoA dehydrogenase","Propanoate metabolism"
"map00640","K11263","WP_205250846.1","QSJ49_RS07545","acetyl/propionyl/methylcrotonyl-CoA carboxylase subunit alpha","Propanoate metabolism"
"map00640","K01902","WP_010903125.1","QSJ49_RS07590","succinate--CoA ligase subunit alpha","Propanoate metabolism"
"map00640","K01659","WP_205251101.1","QSJ49_RS09815","citrate synthase","Propanoate metabolism"
"map00640","K00248","WP_205251630.1","QSJ49_RS04535","acyl-CoA dehydrogenase family protein","Propanoate metabolism"
"map00640","K27802","WP_010903922.1","QSJ49_RS01285","aconitate hydratase","Propanoate metabolism"
"map00640","K00016","WP_010903765.1","QSJ49_RS00415","malate dehydrogenase","Propanoate metabolism"
"map00640","K01848","WP_205251511.1","QSJ49_RS03355","methylmalonyl-CoA mutase family protein","Propanoate metabolism"
"map00640","K00382","WP_205251148.1","QSJ49_RS10320","dihydrolipoyl dehydrogenase","Propanoate metabolism"
"map00640","K00823","WP_010903110.1","QSJ49_RS07515","aspartate aminotransferase family protein","Propanoate metabolism"
"map00650","K00174","WP_010902308.1","QSJ49_RS03330","2-oxoacid:acceptor oxidoreductase subunit alpha","Butanoate metabolism"
"map00650","K00241","WP_012289306.1","QSJ49_RS06660","succinate dehydrogenase-2C cytochrome b556 subunit","Butanoate metabolism"
"map00650","K00174","WP_012289282.1","QSJ49_RS05915","2-oxoacid:acceptor oxidoreductase subunit alpha","Butanoate metabolism"
"map00650","K00074","WP_205251603.1","QSJ49_RS04175","3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein","Butanoate metabolism"
"map00650","K00175","WP_010902808.1","QSJ49_RS05910","thiamine pyrophosphate-dependent enzyme","Butanoate metabolism"
"map00650","K00626","WP_205251599.1","QSJ49_RS04155","thiolase domain-containing protein","Butanoate metabolism"
"map00650","K00175","WP_010902307.1","QSJ49_RS03325","2-oxoacid:ferredoxin oxidoreductase subunit beta","Butanoate metabolism"
"map00650","K00240","WP_010902948.1","QSJ49_RS06650","succinate dehydrogenase/fumarate reductase iron-sulfur subunit","Butanoate metabolism"
"map00650","K00135","WP_010902663.1","QSJ49_RS05165","aldehyde dehydrogenase family protein","Butanoate metabolism"
"map00650","K00248","WP_010903082.1","QSJ49_RS07355","acyl-CoA dehydrogenase family protein","Butanoate metabolism"
"map00650","K01641","WP_285253456.1","QSJ49_RS07865","hydroxymethylglutaryl-CoA synthase","Butanoate metabolism"
"map00650","K00239","WP_010902947.1","QSJ49_RS06645","FAD-binding protein","Butanoate metabolism"
"map00650","K01715","WP_010902271.1","QSJ49_RS03145","enoyl-CoA hydratase-related protein","Butanoate metabolism"
"map00650","K00248","WP_205251630.1","QSJ49_RS04535","acyl-CoA dehydrogenase family protein","Butanoate metabolism"
"map00650","K18118","WP_205251177.1","QSJ49_RS00090","acetyl-CoA hydrolase/transferase family protein","Butanoate metabolism"
"map00650","K00626","WP_205251681.1","QSJ49_RS05135","thiolase family protein","Butanoate metabolism"
"map00650","K00823","WP_010903110.1","QSJ49_RS07515","aspartate aminotransferase family protein","Butanoate metabolism"
"map00650","K00242","WP_010902949.1","QSJ49_RS06655","succinate dehydrogenase hydrophobic membrane anchor subunit","Butanoate metabolism"
"map00650","K00248","WP_205251601.1","QSJ49_RS04165","acyl-CoA dehydrogenase","Butanoate metabolism"
"map00660","K01903","WP_012289349.1","QSJ49_RS07585","ADP-forming succinate--CoA ligase subunit beta","C5-Branched dibasic acid metabolism"
"map00660","K18290","WP_205251176.1","QSJ49_RS00085","MaoC family dehydratase","C5-Branched dibasic acid metabolism"
"map00660","K01902","WP_010903125.1","QSJ49_RS07590","succinate--CoA ligase subunit alpha","C5-Branched dibasic acid metabolism"
"map00660","K19268","WP_205251174.1","QSJ49_RS00075","methylaspartate mutase subunit E","C5-Branched dibasic acid metabolism"
"map00660","K01846","WP_205251173.1","QSJ49_RS00070","methylaspartate mutase subunit S","C5-Branched dibasic acid metabolism"
"map00660","K04835","WP_205251175.1","QSJ49_RS00080","methylaspartate ammonia-lyase","C5-Branched dibasic acid metabolism"
"map00670","K01758","WP_010902556.1","QSJ49_RS04615","PLP-dependent aspartate aminotransferase family protein","One carbon pool by folate"
"map00670","K01934","WP_205250972.1","QSJ49_RS08700","5-formyltetrahydrofolate cyclo-ligase","One carbon pool by folate"
"map00670","K00789","WP_285265534.1","QSJ49_RS06610","methionine adenosyltransferase","One carbon pool by folate"
"map00670","K01433","WP_205251027.1","QSJ49_RS09190","formyltransferase family protein","One carbon pool by folate"
"map00670","K00282","WP_338416949.1","QSJ49_RS07810","aminomethyl-transferring glycine dehydrogenase subunit GcvPA","One carbon pool by folate"
"map00670","K01491","WP_010903030.1","QSJ49_RS07090","bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase","One carbon pool by folate"
"map00670","K00600","WP_205250791.1","QSJ49_RS07085","serine hydroxymethyltransferase","One carbon pool by folate"
"map00670","K00605","WP_205250875.1","QSJ49_RS07820","glycine cleavage system aminomethyltransferase GcvT","One carbon pool by folate"
"map00670","K01251","WP_010903672.1","QSJ49_RS10440","adenosylhomocysteinase","One carbon pool by folate"
"map00670","K00602","WP_205251483.1","QSJ49_RS03090","formyltransferase family protein","One carbon pool by folate"
"map00670","K02437","WP_010903167.1","QSJ49_RS07815","glycine cleavage system protein GcvH","One carbon pool by folate"
"map00670","K00283","WP_235262944.1","QSJ49_RS07805","aminomethyl-transferring glycine dehydrogenase subunit GcvPB","One carbon pool by folate"
"map00670","K00382","WP_205251148.1","QSJ49_RS10320","dihydrolipoyl dehydrogenase","One carbon pool by folate"
"map00670","K03465","WP_205251832.1","QSJ49_RS06725","FAD-dependent thymidylate synthase","One carbon pool by folate"
"map00670","K00605","WP_205251308.1","QSJ49_RS01565","aminomethyltransferase family protein","One carbon pool by folate"
"map00680","K01689","WP_010902821.1","QSJ49_RS05985","phosphopyruvate hydratase","Methane metabolism"
"map00680","K12234","WP_010903932.1","QSJ49_RS01335","coenzyme F420-0:L-glutamate ligase","Methane metabolism"
"map00680","K00058","WP_235157063.1","QSJ49_RS00665","phosphoglycerate dehydrogenase","Methane metabolism"
"map00680","K01499","WP_010903231.1","QSJ49_RS08145","methenyltetrahydromethanopterin cyclohydrolase","Methane metabolism"
"map00680","K01895","WP_136361311.1","QSJ49_RS05375","acetate--CoA ligase","Methane metabolism"
"map00680","K03841","WP_205251605.1","QSJ49_RS04190","class 1 fructose-1-2C6-bisphosphatase","Methane metabolism"
"map00680","K16306","WP_010902183.1","QSJ49_RS02700","2-amino-3-2C7-dideoxy-D-threo-hept-6-ulosonate synthase","Methane metabolism"
"map00680","K11781","WP_205251021.1","QSJ49_RS09145","7-2C8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofH","Methane metabolism"
"map00680","K15633","WP_205251003.1","QSJ49_RS08950","2-2C3-bisphosphoglycerate-independent phosphoglycerate mutase","Methane metabolism"
"map00680","K01895","WP_205251514.1","QSJ49_RS03370","AMP-binding protein","Methane metabolism"
"map00680","K11212","WP_205250800.1","QSJ49_RS07140","2-phospho-L-lactate transferase","Methane metabolism"
"map00680","K01007","WP_205251441.1","QSJ49_RS02785","pyruvate-2C water dikinase","Methane metabolism"
"map00680","K01595","WP_010903679.1","QSJ49_RS10475","phosphoenolpyruvate carboxylase","Methane metabolism"
"map00680","K11645","WP_010902472.1","QSJ49_RS04185","class I fructose-bisphosphate aldolase","Methane metabolism"
"map00680","K01079","WP_235157065.1","QSJ49_RS00660","phosphoserine phosphatase SerB","Methane metabolism"
"map00680","K14941","WP_010903420.1","QSJ49_RS09135","2-phospho-L-lactate guanylyltransferase","Methane metabolism"
"map00680","K00600","WP_205250791.1","QSJ49_RS07085","serine hydroxymethyltransferase","Methane metabolism"
"map00680","K00058","WP_205251346.1","QSJ49_RS01920","C-terminal binding protein","Methane metabolism"
"map00680","K18933","WP_205251439.1","QSJ49_RS02775","tyrosine decarboxylase MfnA","Methane metabolism"
"map00710","K00150","WP_205251345.1","QSJ49_RS01890","type II glyceraldehyde-3-phosphate dehydrogenase","Carbon fixation by Calvin cycle"
"map00710","K01807","WP_205251169.1","QSJ49_RS00010","ribose 5-phosphate isomerase A","Carbon fixation by Calvin cycle"
"map00710","K03841","WP_205251605.1","QSJ49_RS04190","class 1 fructose-1-2C6-bisphosphatase","Carbon fixation by Calvin cycle"
"map00710","K11645","WP_010902472.1","QSJ49_RS04185","class I fructose-bisphosphate aldolase","Carbon fixation by Calvin cycle"
"map00710","K01803","WP_010902734.1","QSJ49_RS05510","triose-phosphate isomerase","Carbon fixation by Calvin cycle"
"map00710","K00927","WP_136361431.1","QSJ49_RS06290","phosphoglycerate kinase","Carbon fixation by Calvin cycle"
"map00710","K01595","WP_010903679.1","QSJ49_RS10475","phosphoenolpyruvate carboxylase","Carbon fixation by Calvin cycle"
"map00710","K00029","WP_010903183.1","QSJ49_RS07905","NADP-dependent malic enzyme","Carbon fixation by Calvin cycle"
"map00720","K00626","WP_205251681.1","QSJ49_RS05135","thiolase family protein","Other carbon fixation pathways"
"map00720","K15016","WP_205251828.1","QSJ49_RS06670","3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein","Other carbon fixation pathways"
"map00720","K01848","WP_205251511.1","QSJ49_RS03355","methylmalonyl-CoA mutase family protein","Other carbon fixation pathways"
"map00720","K05606","WP_205251509.1","QSJ49_RS03345","methylmalonyl-CoA epimerase","Other carbon fixation pathways"
"map00720","K00242","WP_010902949.1","QSJ49_RS06655","succinate dehydrogenase hydrophobic membrane anchor subunit","Other carbon fixation pathways"
"map00720","K00174","WP_010902308.1","QSJ49_RS03330","2-oxoacid:acceptor oxidoreductase subunit alpha","Other carbon fixation pathways"
"map00720","K27802","WP_010903922.1","QSJ49_RS01285","aconitate hydratase","Other carbon fixation pathways"
"map00720","K00031","WP_010903372.1","QSJ49_RS08895","NADP-dependent isocitrate dehydrogenase","Other carbon fixation pathways"
"map00720","K01903","WP_012289349.1","QSJ49_RS07585","ADP-forming succinate--CoA ligase subunit beta","Other carbon fixation pathways"
"map00720","K00241","WP_012289306.1","QSJ49_RS06660","succinate dehydrogenase-2C cytochrome b556 subunit","Other carbon fixation pathways"
"map00720","K01007","WP_205251441.1","QSJ49_RS02785","pyruvate-2C water dikinase","Other carbon fixation pathways"
"map00720","K00239","WP_010902947.1","QSJ49_RS06645","FAD-binding protein","Other carbon fixation pathways"
"map00720","K01679","WP_205251853.1","QSJ49_RS06840","class II fumarate hydratase","Other carbon fixation pathways"
"map00720","K01595","WP_010903679.1","QSJ49_RS10475","phosphoenolpyruvate carboxylase","Other carbon fixation pathways"
"map00720","K01895","WP_205251514.1","QSJ49_RS03370","AMP-binding protein","Other carbon fixation pathways"
"map00720","K00626","WP_205251599.1","QSJ49_RS04155","thiolase domain-containing protein","Other carbon fixation pathways"
"map00720","K01849","WP_010902462.1","QSJ49_RS04135","cobalamin B12-binding domain-containing protein","Other carbon fixation pathways"
"map00720","K01491","WP_010903030.1","QSJ49_RS07090","bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase","Other carbon fixation pathways"
"map00720","K00174","WP_012289282.1","QSJ49_RS05915","2-oxoacid:acceptor oxidoreductase subunit alpha","Other carbon fixation pathways"
"map00720","K01902","WP_010903125.1","QSJ49_RS07590","succinate--CoA ligase subunit alpha","Other carbon fixation pathways"
"map00720","K00175","WP_010902808.1","QSJ49_RS05910","thiamine pyrophosphate-dependent enzyme","Other carbon fixation pathways"
"map00720","K01848","WP_205251590.1","QSJ49_RS04055","methylmalonyl-CoA mutase family protein","Other carbon fixation pathways"
"map00720","K00240","WP_010902948.1","QSJ49_RS06650","succinate dehydrogenase/fumarate reductase iron-sulfur subunit","Other carbon fixation pathways"
"map00720","K00175","WP_010902307.1","QSJ49_RS03325","2-oxoacid:ferredoxin oxidoreductase subunit beta","Other carbon fixation pathways"
"map00720","K01895","WP_136361311.1","QSJ49_RS05375","acetate--CoA ligase","Other carbon fixation pathways"
"map00730","K03151","WP_338416930.1","QSJ49_RS06615","tRNA sulfurtransferase","Thiamine metabolism"
"map00730","K22699","WP_010903946.1","QSJ49_RS01405","sulfide-dependent adenosine diphosphate thiazole synthase","Thiamine metabolism"
"map00730","K00939","WP_010903261.1","QSJ49_RS08305","adenylate kinase","Thiamine metabolism"
"map00730","K00941","WP_205251297.1","QSJ49_RS01410","bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase","Thiamine metabolism"
"map00730","K01077","WP_205250720.1","QSJ49_RS11680","alkaline phosphatase","Thiamine metabolism"
"map00730","K03147","WP_010902492.1","QSJ49_RS04295","phosphomethylpyrimidine synthase ThiC","Thiamine metabolism"
"map00730","K00946","WP_205251062.1","QSJ49_RS09455","thiamine-phosphate kinase","Thiamine metabolism"
"map00740","K08096","WP_205251710.1","QSJ49_RS05445","GTP cyclohydrolase III","Riboflavin metabolism"
"map00740","K01515","WP_136360977.1","QSJ49_RS01310","NUDIX hydrolase","Riboflavin metabolism"
"map00740","K00793","WP_168731194.1","QSJ49_RS01500","riboflavin synthase","Riboflavin metabolism"
"map00740","K01515","WP_205251035.1","QSJ49_RS09245","NUDIX hydrolase","Riboflavin metabolism"
"map00740","K14656","WP_136361131.1","QSJ49_RS04540","adenylyltransferase/cytidyltransferase family protein","Riboflavin metabolism"
"map00740","K07732","WP_205251108.1","QSJ49_RS09915","DUF120 domain-containing protein","Riboflavin metabolism"
"map00740","K02858","WP_205251107.1","QSJ49_RS09910","3-2C4-dihydroxy-2-butanone-4-phosphate synthase","Riboflavin metabolism"
"map00740","K00794","WP_010902429.1","QSJ49_RS03965","6-2C7-dimethyl-8-ribityllumazine synthase","Riboflavin metabolism"
"map00740","K14654","WP_136361455.1","QSJ49_RS06465","2-2C5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase","Riboflavin metabolism"
"map00740","K08096","WP_235158095.1","QSJ49_RS05485","GTP cyclohydrolase III","Riboflavin metabolism"
"map00750","K01733","WP_338416976.1","QSJ49_RS00680","threonine synthase","Vitamin B6 metabolism"
"map00750","K01733","WP_010903552.1","QSJ49_RS09835","threonine synthase","Vitamin B6 metabolism"
"map00750","K08681","WP_010903941.1","QSJ49_RS01380","pyridoxal 5'-phosphate synthase glutaminase subunit PdxT","Vitamin B6 metabolism"
"map00750","K01733","WP_205251541.1","QSJ49_RS03600","threonine synthase","Vitamin B6 metabolism"
"map00750","K06215","WP_010903311.1","QSJ49_RS08580","pyridoxal 5'-phosphate synthase lyase subunit PdxS","Vitamin B6 metabolism"
"map00760","K00858","WP_010903393.1","QSJ49_RS08995","NAD(+)/NADH kinase","Nicotinate and nicotinamide metabolism"
"map00760","K00952","WP_205251430.1","QSJ49_RS02670","nicotinamide-nucleotide adenylyltransferase","Nicotinate and nicotinamide metabolism"
"map00760","K00763","WP_205251288.1","QSJ49_RS01155","nicotinate phosphoribosyltransferase","Nicotinate and nicotinamide metabolism"
"map00760","K00278","WP_205250999.1","QSJ49_RS08930","FAD-dependent oxidoreductase","Nicotinate and nicotinamide metabolism"
"map00760","K00767","WP_205251000.1","QSJ49_RS08935","carboxylating nicotinate-nucleotide diphosphorylase","Nicotinate and nicotinamide metabolism"
"map00760","K03787","WP_338416919.1","QSJ49_RS06400","5'/3'-nucleotidase SurE","Nicotinate and nicotinamide metabolism"
"map00760","K00135","WP_010902663.1","QSJ49_RS05165","aldehyde dehydrogenase family protein","Nicotinate and nicotinamide metabolism"
"map00760","K03743","WP_205251457.1","QSJ49_RS02915","CinA family protein","Nicotinate and nicotinamide metabolism"
"map00760","K03517","WP_010903378.1","QSJ49_RS08925","quinolinate synthase NadA","Nicotinate and nicotinamide metabolism"
"map00760","K00858","WP_205251556.1","QSJ49_RS03750","NAD(+)/NADH kinase","Nicotinate and nicotinamide metabolism"
"map00760","K01916","WP_010903494.1","QSJ49_RS09535","NAD+ synthase","Nicotinate and nicotinamide metabolism"
"map00770","K00826","WP_010903564.1","QSJ49_RS09895","branched-chain amino acid transaminase","Pantothenate and CoA biosynthesis"
"map00770","K00606","WP_205250825.1","QSJ49_RS07335","3-methyl-2-oxobutanoate hydroxymethyltransferase","Pantothenate and CoA biosynthesis"
"map00770","K06982","WP_205251412.1","QSJ49_RS02490","sugar kinase","Pantothenate and CoA biosynthesis"
"map00770","K00077","WP_010902504.1","QSJ49_RS04355","2-dehydropantoate 2-reductase","Pantothenate and CoA biosynthesis"
"map00770","K09722","WP_205251411.1","QSJ49_RS02485","4-phosphopantoate--beta-alanine ligase","Pantothenate and CoA biosynthesis"
"map00770","K02201","WP_010903012.1","QSJ49_RS07000","phosphopantetheine adenylyltransferase","Pantothenate and CoA biosynthesis"
"map00770","K00128","WP_010903877.1","QSJ49_RS01040","aldehyde dehydrogenase family protein","Pantothenate and CoA biosynthesis"
"map00770","K18933","WP_205251439.1","QSJ49_RS02775","tyrosine decarboxylase MfnA","Pantothenate and CoA biosynthesis"
"map00770","K00826","WP_205251467.1","QSJ49_RS02985","aminodeoxychorismate lyase","Pantothenate and CoA biosynthesis"
"map00770","K13038","WP_205251553.1","QSJ49_RS03725","bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC","Pantothenate and CoA biosynthesis"
"map00780","K03524","WP_338416945.1","QSJ49_RS07560","biotin--[acetyl-CoA-carboxylase] ligase","Biotin metabolism"
"map00780","K00059","WP_136361001.1","QSJ49_RS01530","SDR family oxidoreductase","Biotin metabolism"
"map00780","K00059","WP_285271477.1","QSJ49_RS06780","SDR family NAD(P)-dependent oxidoreductase","Biotin metabolism"
"map00780","K00059","WP_205251122.1","QSJ49_RS10060","SDR family oxidoreductase","Biotin metabolism"
"map00780","K03524","WP_205251592.1","QSJ49_RS04095","biotin--[acetyl-CoA-carboxylase] ligase","Biotin metabolism"
"map00785","K00283","WP_235262944.1","QSJ49_RS07805","aminomethyl-transferring glycine dehydrogenase subunit GcvPB","Lipoic acid metabolism"
"map00785","K00282","WP_338416949.1","QSJ49_RS07810","aminomethyl-transferring glycine dehydrogenase subunit GcvPA","Lipoic acid metabolism"
"map00785","K00605","WP_205250875.1","QSJ49_RS07820","glycine cleavage system aminomethyltransferase GcvT","Lipoic acid metabolism"
"map00785","K00605","WP_205251308.1","QSJ49_RS01565","aminomethyltransferase family protein","Lipoic acid metabolism"
"map00785","K00382","WP_205251148.1","QSJ49_RS10320","dihydrolipoyl dehydrogenase","Lipoic acid metabolism"
"map00785","K00162","WP_205251147.1","QSJ49_RS10310","alpha-ketoacid dehydrogenase subunit beta","Lipoic acid metabolism"
"map00785","K03800","WP_205250701.1","QSJ49_RS11820","biotin/lipoate A/B protein ligase family protein","Lipoic acid metabolism"
"map00785","K02437","WP_010903167.1","QSJ49_RS07815","glycine cleavage system protein GcvH","Lipoic acid metabolism"
"map00785","K03644","WP_010903644.1","QSJ49_RS10300","lipoyl synthase","Lipoic acid metabolism"
"map00785","K16869","WP_205251284.1","QSJ49_RS01130","biotin/lipoate A/B protein ligase family protein","Lipoic acid metabolism"
"map00785","K00627","WP_010903647.1","QSJ49_RS10315","dihydrolipoamide acetyltransferase family protein","Lipoic acid metabolism"
"map00785","K03800","WP_010902091.1","QSJ49_RS02255","biotin/lipoate A/B protein ligase family protein","Lipoic acid metabolism"
"map00790","K01737","WP_010904153.1","QSJ49_RS11660","6-pyruvoyl tetrahydropterin synthase family protein","Folate biosynthesis"
"map00790","K10026","WP_010904152.1","QSJ49_RS11665","7-carboxy-7-deazaguanine synthase QueE","Folate biosynthesis"
"map00790","K07142","WP_235218856.1","QSJ49_RS06790","6-hydroxymethylpterin diphosphokinase MptE-like protein","Folate biosynthesis"
"map00790","K01737","WP_205251720.1","QSJ49_RS05495","6-carboxytetrahydropterin synthase","Folate biosynthesis"
"map00790","K03752","WP_010902576.1","QSJ49_RS04725","molybdenum cofactor guanylyltransferase","Folate biosynthesis"
"map00790","K17488","WP_010903394.1","QSJ49_RS09000","GTP cyclohydrolase MptA","Folate biosynthesis"
"map00790","K03635","WP_205251340.1","QSJ49_RS01845","molybdopterin synthase","Folate biosynthesis"
"map00790","K03750","WP_205251342.1","QSJ49_RS01865","gephyrin-like molybdotransferase Glp","Folate biosynthesis"
"map00790","K03639","WP_205251341.1","QSJ49_RS01855","GTP 3'-2C8-cyclase MoaA","Folate biosynthesis"
"map00790","K00796","WP_205251845.1","QSJ49_RS06795","dihydropteroate synthase","Folate biosynthesis"
"map00790","K06920","WP_205250722.1","QSJ49_RS11670","7-cyano-7-deazaguanine synthase QueC","Folate biosynthesis"
"map00790","K03638","WP_205250971.1","QSJ49_RS08695","molybdenum cofactor biosynthesis protein B","Folate biosynthesis"
"map00790","K03750","WP_136361060.1","QSJ49_RS01860","molybdopterin biosynthesis protein","Folate biosynthesis"
"map00790","K01077","WP_205250720.1","QSJ49_RS11680","alkaline phosphatase","Folate biosynthesis"
"map00790","K03637","WP_338416928.1","QSJ49_RS06530","cyclic pyranopterin monophosphate synthase MoaC","Folate biosynthesis"
"map00790","K01724","WP_205250950.1","QSJ49_RS08505","4a-hydroxytetrahydrobiopterin dehydratase","Folate biosynthesis"
"map00790","K00796","WP_205251482.1","QSJ49_RS03085","dihydropteroate synthase","Folate biosynthesis"
"map00860","K02191","WP_010903131.1","QSJ49_RS07640","precorrin-6Y C5-2C15-methyltransferase (decarboxylating) subunit CbiT","Porphyrin metabolism"
"map00860","K19221","WP_235157612.1","QSJ49_RS07730","cob(I)yrinic acid a-2Cc-diamide adenosyltransferase","Porphyrin metabolism"
"map00860","K24866","WP_205250951.1","QSJ49_RS08515","bifunctional precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase","Porphyrin metabolism"
"map00860","K03795","WP_010902785.1","QSJ49_RS05790","CbiX/SirB N-terminal domain-containing protein","Porphyrin metabolism"
"map00860","K22225","WP_010903402.1","QSJ49_RS09040","Lrp/AsnC family transcriptional regulator","Porphyrin metabolism"
"map00860","K08260","WP_338416947.1","QSJ49_RS07765","adenosylcobinamide amidohydrolase CbiZ","Porphyrin metabolism"
"map00860","K02492","WP_010903296.1","QSJ49_RS08510","glutamyl-tRNA reductase","Porphyrin metabolism"
"map00860","K05934","WP_205250855.1","QSJ49_RS07665","precorrin-3B C(17)-methyltransferase","Porphyrin metabolism"
"map00860","K05934","WP_136361492.1","QSJ49_RS07660","SAM-dependent methyltransferase","Porphyrin metabolism"
