"KO","name","definition","category"
"K03151","tRNA uracil 4-sulfurtransferase [EC:2.8.1.4]",NA,"Core"
"K03166","DNA topoisomerase VI subunit A [EC:5.6.2.2]",NA,"Core"
"K03167","DNA topoisomerase VI subunit B [EC:5.6.2.2]",NA,"Core"
"K03168","DNA topoisomerase I [EC:5.6.2.1]",NA,"Core"
"K03177","tRNA pseudouridine55 synthase [EC:5.4.99.25]",NA,"Core"
"K03231","elongation factor 1-alpha",NA,"Core"
"K03234","elongation factor 2",NA,"Core"
"K03236","translation initiation factor 1A",NA,"Core"
"K03237","translation initiation factor 2 subunit 1",NA,"Core"
"K03238","translation initiation factor 2 subunit 2",NA,"Core"
"K03242","translation initiation factor 2 subunit 3",NA,"Core"
"K03243","translation initiation factor 5B",NA,"Core"
"K03263","translation initiation factor 5A",NA,"Core"
"K03264","translation initiation factor 6",NA,"Core"
"K03265","peptide chain release factor subunit 1",NA,"Core"
"K03294","basic amino acid/polyamine antiporter, APA family",NA,"Core"
"K03297","small multidrug resistance pump",NA,"Core"
"K03306","inorganic phosphate transporter, PiT family",NA,"Core"
"K03307","solute:Na+ symporter, SSS family",NA,"Core"
"K03308","neurotransmitter:Na+ symporter, NSS family",NA,"Core"
"K03330","glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7]",NA,"Core"
"K03394","precorrin-2/cobalt-factor-2 C20-methyltransferase [EC:2.1.1.130 2.1.1.151]",NA,"Core"
"K03399","cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]",NA,"Core"
"K03404","magnesium chelatase subunit D [EC:6.6.1.1]",NA,"Core"
"K03406","methyl-accepting chemotaxis protein",NA,"Core"
"K03407","two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]",NA,"Core"
"K03408","purine-binding chemotaxis protein CheW",NA,"Core"
"K03410","chemotaxis protein CheC",NA,"Core"
"K03411","chemotaxis protein CheD [EC:3.5.1.44]",NA,"Core"
"K03412","two-component system, chemotaxis family, protein-glutamate methylesterase/glutaminase [EC:3.1.1.61 3.5.1.44]",NA,"Core"
"K03413","two-component system, chemotaxis family, chemotaxis protein CheY",NA,"Core"
"K03420","proteasome regulatory subunit",NA,"Core"
"K03432","proteasome alpha subunit [EC:3.4.25.1]",NA,"Core"
"K03470","ribonuclease HII [EC:3.1.26.4]",NA,"Core"
"K03496","chromosome partitioning protein",NA,"Core"
"K03498","trk/ktr system potassium uptake protein",NA,"Core"
"K03499","trk/ktr system potassium uptake protein",NA,"Core"
"K03517","quinolinate synthase [EC:2.5.1.72]",NA,"Core"
"K03521","electron transfer flavoprotein beta subunit",NA,"Core"
"K03522","electron transfer flavoprotein alpha subunit",NA,"Core"
"K03523","biotin transport system substrate-specific component",NA,"Core"
"K03524","BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]",NA,"Core"
"K03529","chromosome segregation protein",NA,"Core"
"K03531","cell division protein FtsZ",NA,"Core"
"K03537","ribonuclease P/MRP protein subunit POP5 [EC:3.1.26.5]",NA,"Core"
"K03539","ribonuclease P/MRP protein subunit RPP1 [EC:3.1.26.5]",NA,"Core"
"K03546","DNA repair protein SbcC/Rad50",NA,"Core"
"K03547","DNA repair protein SbcD/Mre11",NA,"Core"
"K03552","holliday junction resolvase [EC:3.1.21.10]",NA,"Core"
"K03555","DNA mismatch repair protein MutS",NA,"Core"
"K03564","thioredoxin-dependent peroxiredoxin [EC:1.11.1.24]",NA,"Core"
"K03572","DNA mismatch repair protein MutL",NA,"Core"
"K03575","A/G-specific adenine glycosylase [EC:3.2.2.31]",NA,"Core"
"K03593","ATP-binding protein involved in chromosome partitioning",NA,"Core"
"K03595","GTPase",NA,"Core"
"K03609","septum site-determining protein MinD",NA,"Core"
"K03627","putative transcription factor",NA,"Core"
"K03635","molybdopterin synthase catalytic subunit [EC:2.8.1.12]",NA,"Core"
"K03636","sulfur-carrier protein",NA,"Core"
"K03637","cyclic pyranopterin monophosphate synthase [EC:4.6.1.17]",NA,"Core"
"K03638","molybdopterin adenylyltransferase [EC:2.7.7.75]",NA,"Core"
"K03639","GTP 3',8-cyclase [EC:4.1.99.22]",NA,"Core"
"K03644","lipoyl synthase [EC:2.8.1.8]",NA,"Core"
"K03657","ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]",NA,"Core"
"K03660","N-glycosylase/DNA lyase [EC:3.2.2.- 4.2.99.18]",NA,"Core"
"K03665","GTPase",NA,"Core"
"K03671","thioredoxin",NA,"Core"
"K03680","translation initiation factor eIF-2B subunit delta",NA,"Core"
"K03686","molecular chaperone DnaJ",NA,"Core"
"K03687","molecular chaperone GrpE",NA,"Core"
"K03699","magnesium and cobalt exporter, CNNM family",NA,"Core"
"K03701","excinuclease ABC subunit A",NA,"Core"
"K03702","excinuclease ABC subunit B",NA,"Core"
"K03703","excinuclease ABC subunit C",NA,"Core"
"K03704","cold shock protein",NA,"Core"
"K03709","DtxR family transcriptional regulator, Mn-dependent transcriptional regulator",NA,"Core"
"K03719","Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein",NA,"Core"
"K03724","ATP-dependent helicase Lhr and Lhr-like helicase [EC:5.6.2.6 5.6.2.4]",NA,"Core"
"K03725","putative ATP-dependent RNA helicase [EC:5.6.2.-]",NA,"Core"
"K03726","ATP-dependent DNA helicase [EC:5.6.2.4]",NA,"Core"
"K03741","arsenate reductase (thioredoxin) [EC:1.20.4.4]",NA,"Core"
"K03743","nicotinamide-nucleotide amidase [EC:3.5.1.42]",NA,"Core"
"K03750","molybdopterin molybdotransferase [EC:2.10.1.1]",NA,"Core"
"K03752","molybdenum cofactor guanylyltransferase [EC:2.7.7.77]",NA,"Core"
"K03767","peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]",NA,"Core"
"K03775","FKBP-type peptidyl-prolyl cis-trans isomerase SlyD [EC:5.2.1.8]",NA,"Core"
"K03782","catalase-peroxidase [EC:1.11.1.21]",NA,"Core"
"K03787","5'/3'-nucleotidase [EC:3.1.3.5 3.1.3.6]",NA,"Core"
"K03789","[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]",NA,"Core"
"K03795","sirohydrochlorin cobaltochelatase [EC:4.99.1.3]",NA,"Core"
"K03799","heat shock protein HtpX [EC:3.4.24.-]",NA,"Core"
"K03800","lipoate---protein ligase [EC:6.3.1.20]",NA,"Core"
"K03841","fructose-1,6-bisphosphatase I [EC:3.1.3.11]",NA,"Core"
"K03885","NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]",NA,"Core"
"K03924","MoxR-like ATPase [EC:3.6.3.-]",NA,"Core"
"K04043","molecular chaperone DnaK",NA,"Core"
"K04047","starvation-inducible DNA-binding protein",NA,"Core"
"K04076","ATP-dependent Lon protease [EC:3.4.21.53]",NA,"Core"
"K04483","DNA repair protein RadA",NA,"Core"
"K04484","DNA repair protein RadB",NA,"Core"
"K04488","nitrogen fixation protein NifU and related proteins",NA,"Core"
"K04517","prephenate dehydrogenase [EC:1.3.1.12]",NA,"Core"
"K04518","prephenate dehydratase [EC:4.2.1.51]",NA,"Core"
"K04564","superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",NA,"Core"
"K04566","lysyl-tRNA synthetase, class I [EC:6.1.1.6]",NA,"Core"
"K04642","halorhodopsin",NA,"Core"
"K04655","hydrogenase expression/formation protein HypE",NA,"Core"
"K04720","threonine-phosphate decarboxylase [EC:4.1.1.81]",NA,"Core"
"K04773","protease IV [EC:3.4.21.-]",NA,"Core"
"K04794","peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]",NA,"Core"
"K04795","fibrillarin-like pre-rRNA processing protein",NA,"Core"
"K04799","flap endonuclease-1 [EC:3.1.-.-]",NA,"Core"
"K04800","replication factor C large subunit",NA,"Core"
"K04801","replication factor C small subunit",NA,"Core"
"K04802","proliferating cell nuclear antigen",NA,"Core"
"K04835","methylaspartate ammonia-lyase [EC:4.3.1.2]",NA,"Core"
"K05566","multicomponent Na+:H+ antiporter subunit B",NA,"Core"
"K05567","multicomponent Na+:H+ antiporter subunit C",NA,"Core"
"K05568","multicomponent Na+:H+ antiporter subunit D",NA,"Core"
"K05569","multicomponent Na+:H+ antiporter subunit E",NA,"Core"
"K05571","multicomponent Na+:H+ antiporter subunit G",NA,"Core"
"K05606","methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]",NA,"Core"
"K05813","sn-glycerol 3-phosphate transport system substrate-binding protein",NA,"Core"
"K05814","sn-glycerol 3-phosphate transport system permease protein",NA,"Core"
"K05815","sn-glycerol 3-phosphate transport system permease protein",NA,"Core"
"K05844","ribosomal protein S6--L-glutamate ligase [EC:6.3.2.-]",NA,"Core"
"K05873","adenylate cyclase, class 2 [EC:4.6.1.1]",NA,"Core"
"K05896","segregation and condensation protein A",NA,"Core"
"K05934","precorrin-3B C17-methyltransferase / cobalt-factor III methyltransferase [EC:2.1.1.131 2.1.1.272]",NA,"Core"
"K05936","precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271]",NA,"Core"
"K05982","deoxyribonuclease V [EC:3.1.21.7]",NA,"Core"
"K06042","precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]",NA,"Core"
"K06048","glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]",NA,"Core"
"K06147","ATP-binding cassette, subfamily B, bacterial",NA,"Core"
"K06167","phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]",NA,"Core"
"K06173","tRNA pseudouridine38-40 synthase [EC:5.4.99.12]",NA,"Core"
"K06174","ATP-binding cassette, sub-family E, member 1",NA,"Core"
"K06176","tRNA pseudouridine13 synthase [EC:5.4.99.27]",NA,"Core"
"K06196","cytochrome c-type biogenesis protein",NA,"Core"
"K06199","fluoride exporter",NA,"Core"
"K06215","pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]",NA,"Core"
"K06222","2,5-diketo-D-gluconate reductase B [EC:1.1.1.346]",NA,"Core"
"K06415","stage V sporulation protein R",NA,"Core"
"K06865","ATPase",NA,"Core"
"K06869","uncharacterized protein",NA,"Core"
"K06873","uncharacterized protein",NA,"Core"
"K06876","(6-4)DNA photolyase [EC:4.1.99.13]",NA,"Core"
"K06877","DEAD/DEAH box helicase domain-containing protein",NA,"Core"
"K06885","uncharacterized protein",NA,"Core"
"K06888","uncharacterized protein",NA,"Core"
"K06920","7-cyano-7-deazaguanine synthase [EC:6.3.4.20]",NA,"Core"
"K06927","diphthine-ammonia ligase [EC:6.3.1.14]",NA,"Core"
"K06929","uncharacterized protein",NA,"Core"
"K06930","HTH-type transcriptional regulator, bacterioopsin transcriptional activator and related proteins",NA,"Core"
"K06932","tRNA(Ile2)-agmatinylcytidine synthase [EC:6.3.4.22]",NA,"Core"
"K06934","uncharacterized protein",NA,"Core"
"K06936","archaeosine synthase beta-subunit [EC:2.6.1.-]",NA,"Core"
"K06940","uncharacterized protein",NA,"Core"
"K06942","ribosome-binding ATPase",NA,"Core"
"K06943","nucleolar GTP-binding protein",NA,"Core"
"K06950","uncharacterized protein",NA,"Core"
"K06953","uncharacterized protein",NA,"Core"
"K06957","tRNA(Met) cytidine acetyltransferase [EC:2.3.1.193]",NA,"Core"
"K06961","ribosomal RNA assembly protein",NA,"Core"
"K06965","protein pelota",NA,"Core"
"K06974","archaemetzincin [EC:3.4.-.-]",NA,"Core"
"K06981","isopentenyl phosphate kinase [EC:2.7.4.26]",NA,"Core"
"K06982","pantoate kinase [EC:2.7.1.169]",NA,"Core"
"K06987","uncharacterized protein",NA,"Core"
"K06988","8-hydroxy-5-deazaflavin:NADPH oxidoreductase [EC:1.5.1.40]",NA,"Core"
"K07027","glycosyltransferase 2 family protein",NA,"Core"
"K07041","uncharacterized protein",NA,"Core"
"K07045","uncharacterized protein",NA,"Core"
"K07049","TatD-related deoxyribonuclease",NA,"Core"
"K07052","CAAX protease family protein",NA,"Core"
"K07053","3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]",NA,"Core"
"K07055","tRNA wybutosine-synthesizing protein 2 [EC:2.5.1.114]",NA,"Core"
"K07059","rhomboid family protease [EC:3.4.21.105]",NA,"Core"
"K07060","endoribonuclease Nob1 [EC:3.1.-.-]",NA,"Core"
"K07080","uncharacterized protein",NA,"Core"
"K07095","uncharacterized protein",NA,"Core"
"K07097","uncharacterized protein",NA,"Core"
"K07101","uncharacterized protein",NA,"Core"
"K07103","uncharacterized protein",NA,"Core"
"K07107","acyl-CoA thioester hydrolase [EC:3.1.2.-]",NA,"Core"
"K07112","uncharacterized protein",NA,"Core"
"K07129","uncharacterized protein",NA,"Core"
"K07140","MOSC domain-containing protein",NA,"Core"
"K07142","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]",NA,"Core"
"K07151","dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]",NA,"Core"
"K07152","protein SCO1",NA,"Core"
"K07159","uncharacterized protein",NA,"Core"
"K07178","RIO kinase 1 [EC:2.7.11.1]",NA,"Core"
"K07179","RIO kinase 2 [EC:2.7.11.1]",NA,"Core"
"K07180","serine protein kinase",NA,"Core"
"K07219","putative molybdopterin biosynthesis protein",NA,"Core"
"K07238","zinc transporter, ZIP family",NA,"Core"
"K07254","tRNA (cytidine56-2'-O)-methyltransferase [EC:2.1.1.206]",NA,"Core"
"K07301","cation:H+ antiporter",NA,"Core"
"K07304","peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]",NA,"Core"
"K07305","peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]",NA,"Core"
"K07306","anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]",NA,"Core"
"K07331","archaeal flagellar protein FlaH",NA,"Core"
"K07332","archaeal flagellar protein FlaI",NA,"Core"
"K07333","archaeal flagellar protein FlaJ",NA,"Core"
"K07335","basic membrane protein A and related proteins",NA,"Core"
"K07341","death on curing protein",NA,"Core"
"K07390","monothiol glutaredoxin",NA,"Core"
"K07393","glutathionyl-hydroquinone reductase [EC:1.8.5.7]",NA,"Core"
"K07442","tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]",NA,"Core"
"K07446","tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]",NA,"Core"
"K07456","DNA mismatch repair protein MutS2",NA,"Core"
"K07461","putative endonuclease",NA,"Core"
"K07462","single-stranded-DNA-specific exonuclease [EC:3.1.-.-]",NA,"Core"
"K07463","archaea-specific RecJ-like exonuclease",NA,"Core"
"K07466","replication factor A1",NA,"Core"
"K07496","putative transposase",NA,"Core"
"K07502","uncharacterized protein",NA,"Core"
"K07503","endonuclease [EC:3.1.-.-]",NA,"Core"
"K07557","archaeosine synthase alpha-subunit [EC:2.6.1.97 2.6.1.-]",NA,"Core"
"K07558","tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72]",NA,"Core"
"K07561","2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]",NA,"Core"
"K07562","60S ribosomal export protein NMD3",NA,"Core"
"K07566","L-threonylcarbamoyladenylate synthase [EC:2.7.7.87]",NA,"Core"
"K07572","putative nucleotide binding protein",NA,"Core"
"K07577","putative mRNA 3-end processing factor",NA,"Core"
"K07579","putative methylase",NA,"Core"
"K07581","RNA-binding protein",NA,"Core"
"K07583","tRNA pseudouridine synthase 10 [EC:5.4.99.25]",NA,"Core"
"K07585","tRNA methyltransferase",NA,"Core"
"K07588","GTPase [EC:3.6.5.-]",NA,"Core"
"K07721","ArsR family transcriptional regulator",NA,"Core"
"K07722","CopG family transcriptional regulator, nickel-responsive regulator",NA,"Core"
"K07728","putative transcriptional regulator",NA,"Core"
"K07730","putative transcriptional regulator",NA,"Core"
"K07731","putative transcriptional regulator",NA,"Core"
"K07732","riboflavin kinase, archaea type [EC:2.7.1.161]",NA,"Core"
"K07739","elongator complex protein 3 (tRNA carboxymethyluridine synthase) [EC:2.3.1.311]",NA,"Core"
"K07743","transcriptional regulator",NA,"Core"
"K07744","transcriptional regulator",NA,"Core"
"K07991","archaeal preflagellin peptidase FlaK [EC:3.4.23.52]",NA,"Core"
"K08096","GTP cyclohydrolase IIa [EC:3.5.4.29]",NA,"Core"
"K08602","oligoendopeptidase F [EC:3.4.24.-]",NA,"Core"
"K08681","pyridoxal 5'-phosphate synthase pdxT subunit [EC:4.3.3.6]",NA,"Core"
"K08963","methylthioribose-1-phosphate isomerase [EC:5.3.1.23]",NA,"Core"
"K08971","putative membrane protein",NA,"Core"
"K08974","putative membrane protein",NA,"Core"
"K08975","putative membrane protein",NA,"Core"
"K08976","putative membrane protein",NA,"Core"
"K08977","bisanhydrobacterioruberin hydratase [EC:4.2.1.161]",NA,"Core"
"K08979","putative membrane protein",NA,"Core"
"K08981","putative membrane protein",NA,"Core"
"K08999","uncharacterized protein",NA,"Core"
"K09005","uncharacterized protein",NA,"Core"
"K09013","Fe-S cluster assembly ATP-binding protein",NA,"Core"
"K09014","Fe-S cluster assembly protein SufB",NA,"Core"
"K09022","2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]",NA,"Core"
"K09120","endonuclease dU",NA,"Core"
"K09136","ribosomal protein S12 methylthiotransferase accessory factor",NA,"Core"
"K09140","rRNA small subunit aminocarboxypropyltransferase [EC:2.5.1.157]",NA,"Core"
"K09142","methyltransferase [EC:2.1.1.-]",NA,"Core"
"K09150","uncharacterized protein",NA,"Core"
"K09156","taxis protein CheF",NA,"Core"
"K09163","uncharacterized protein",NA,"Core"
"K09164","uncharacterized protein",NA,"Core"
"K09166","uncharacterized protein",NA,"Core"
"K09167","uncharacterized protein",NA,"Core"
"K09190","uncharacterized protein",NA,"Core"
"K09228","KRAB domain-containing zinc finger protein",NA,"Core"
"K09482","glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]",NA,"Core"
"K09716","D-aminoacyl-tRNA deacylase [EC:3.1.1.96]",NA,"Core"
"K09722","4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36]",NA,"Core"
"K09723","DNA replication factor GINS",NA,"Core"
"K09728","uncharacterized protein",NA,"Core"
"K09730","uncharacterized protein",NA,"Core"
"K09731","uncharacterized protein",NA,"Core"
"K09738","uncharacterized protein",NA,"Core"
"K09743","uncharacterized protein",NA,"Core"
"K09746","uncharacterized protein",NA,"Core"
"K09759","nondiscriminating aspartyl-tRNA synthetase [EC:6.1.1.23]",NA,"Core"
"K09763","uncharacterized protein",NA,"Core"
"K09786","uncharacterized protein",NA,"Core"
"K09792","uncharacterized protein",NA,"Core"
"K09815","zinc transport system substrate-binding protein",NA,"Core"
"K09816","zinc transport system permease protein",NA,"Core"
"K09817","zinc transport system ATP-binding protein [EC:7.2.2.20]",NA,"Core"
"K09903","uridylate kinase [EC:2.7.4.22]",NA,"Core"
"K10026","7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]",NA,"Core"
"K10112","multiple sugar transport system ATP-binding protein [EC:7.5.2.-]",NA,"Core"
"K10716","voltage-gated potassium channel",NA,"Core"
"K10725","archaeal cell division control protein 6",NA,"Core"
"K10726","replicative DNA helicase Mcm [EC:5.6.2.3]",NA,"Core"
"K10742","DNA replication ATP-dependent helicase/nuclease Dna2 [EC:5.6.2.3 3.1.-.-]",NA,"Core"
"K10747","DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]",NA,"Core"
"K10773","endonuclease III [EC:3.2.2.- 4.2.99.18]",NA,"Core"
"K10843","DNA excision repair protein ERCC-3 [EC:5.6.2.4]",NA,"Core"
"K10844","DNA excision repair protein ERCC-2 [EC:5.6.2.3]",NA,"Core"
"K11176","IMP cyclohydrolase [EC:3.5.4.10]",NA,"Core"
"K11212","LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]",NA,"Core"
"K11263","acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.4.1.- 6.3.4.14]",NA,"Core"
"K11645","fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",NA,"Core"
"K11646","3-dehydroquinate synthase II [EC:1.4.1.24]",NA,"Core"
"K11717","cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]",NA,"Core"
"K11781","5-amino-6-(D-ribitylamino)uracil---L-tyrosine 4-hydroxyphenyl transferase [EC:2.5.1.147]",NA,"Core"
"K12234","coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]",NA,"Core"
"K12573","ribonuclease R [EC:3.1.13.1]",NA,"Core"
"K12574","ribonuclease J [EC:3.1.-.-]",NA,"Core"
"K12940","aminobenzoyl-glutamate utilization protein A",NA,"Core"
"K12960","5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]",NA,"Core"
"K13038","phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]",NA,"Core"
"K13051","L-asparaginase / beta-aspartyl-peptidase [EC:3.5.1.1 3.4.19.5]",NA,"Core"
"K13280","signal peptidase I [EC:3.4.21.89]",NA,"Core"
"K13378","NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]",NA,"Core"
"K13525","transitional endoplasmic reticulum ATPase",NA,"Core"
"K13677","1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase [EC:2.4.1.208]",NA,"Core"
"K13787","geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]",NA,"Core"
"K13993","HSP20 family protein",NA,"Core"
"K14415","tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]",NA,"Core"
"K14564","nucleolar protein 56",NA,"Core"
"K14574","ribosome maturation protein SDO1",NA,"Core"
"K14654","2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase [EC:1.1.1.302]",NA,"Core"
"K14656","FAD synthetase [EC:2.7.7.2]",NA,"Core"
"K14941","2-phospho-L-lactate/phosphoenolpyruvate guanylyltransferase [EC:2.7.7.68 2.7.7.105]",NA,"Core"
"K15016","enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]",NA,"Core"
"K15172","transcription elongation factor SPT5",NA,"Core"
"K15396","tRNA (cytidine32/uridine32-2'-O)-methyltransferase [EC:2.1.1.200]",NA,"Core"
"K15429","tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228]",NA,"Core"
"K15449","tRNA wybutosine-synthesizing protein 1 [EC:4.1.3.44]",NA,"Core"
"K15495","molybdate/tungstate transport system substrate-binding protein",NA,"Core"
"K15633","2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",NA,"Core"
"K15778","phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]",NA,"Core"
"K15865","threonylcarbamoyladenosine tRNA methylthiotransferase [EC:2.8.4.5]",NA,"Core"
"K15888","tritrans,polycis-undecaprenyl-diphosphate synthase [geranylgeranyl-diphosphate specific] [EC:2.5.1.89]",NA,"Core"
"K15904","bifunctional N6-L-threonylcarbamoyladenine synthase / protein kinase Bud32 [EC:2.3.1.234 2.7.11.1]",NA,"Core"
"K16306","fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]",NA,"Core"
"K16317","tRNA (pseudouridine54-N1)-methyltransferase [EC:2.1.1.257]",NA,"Core"
"K16869","octanoyl-[GcvH]:protein N-octanoyltransferase [EC:2.3.1.204]",NA,"Core"
"K17488","GTP cyclohydrolase IV [EC:3.5.4.39]",NA,"Core"
"K17686","P-type Cu+ transporter [EC:7.2.2.8]",NA,"Core"
"K17830","digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]",NA,"Core"
"K17884","archaetidylinositol phosphate synthase [EC:2.7.8.39]",NA,"Core"
"K17942","phosphomevalonate decarboxylase [EC:4.1.1.99]",NA,"Core"
"K18208","renalase [EC:1.6.3.5]",NA,"Core"
"K18532","adenylate kinase [EC:2.7.4.3]",NA,"Core"
"K18672","diadenylate cyclase [EC:2.7.7.85]",NA,"Core"
"K18779","7-cyano-7-deazaguanine tRNA-ribosyltransferase [EC:2.4.2.48]",NA,"Core"
"K18882","DNA primase large subunit",NA,"Core"
"K18933","tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11]",NA,"Core"
"K18981","uronate dehydrogenase [EC:1.1.1.203]",NA,"Core"
"K19221","cob(I)alamin adenosyltransferase [EC:2.5.1.17]",NA,"Core"
"K19268","methylaspartate mutase epsilon subunit [EC:5.4.99.1]",NA,"Core"
"K19664","CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol synthase [EC:2.7.7.67]",NA,"Core"
"K19689","aminopeptidase [EC:3.4.11.-]",NA,"Core"
"K19710","ATP adenylyltransferase [EC:2.7.7.53]",NA,"Core"
"K19802","L-Ala-D/L-Glu epimerase / N-acetyl-D-glutamate racemase [EC:5.1.1.20 5.1.1.25]",NA,"Core"
"K20215","diphthine synthase [EC:2.1.1.98]",NA,"Core"
"K20611","1-hydroxy-2-isopentenylcarotenoid 3,4-desaturase [EC:1.3.99.37]",NA,"Core"
"K20616","lycopene elongase/hydratase (dihydrobisanhydrobacterioruberin-forming) [EC:2.5.1.150]",NA,"Core"
"K21306","dolichyl-phosphooligosaccharide-protein glycotransferase [EC:2.4.99.21]",NA,"Core"
"K21817","beta-carotene 15,15'-dioxygenase [EC:1.13.11.63]",NA,"Core"
"K21827","IclR family transcriptional regulator, arginine deiminase pathway regulator",NA,"Core"
"K21929","uracil-DNA glycosylase [EC:3.2.2.27]",NA,"Core"
"K22205","S-adenosyl-L-methionine hydrolase (adenosine-forming) [EC:3.13.2.3]",NA,"Core"
"K22206","XRE family transcriptional regulator, thiamine biosynthesis regulator",NA,"Core"
"K22221","HEAT repeat-containing taxis protein",NA,"Core"
"K22222","tubulin-like protein CetZ",NA,"Core"
"K22223","phosphoglycolate phosphatase [EC:3.1.3.18]",NA,"Core"
"K22225","siroheme decarboxylase [EC:4.1.1.111]",NA,"Core"
"K22226","Fe-coproporphyrin III synthase",NA,"Core"
"K22227","AdoMet-dependent heme synthase [EC:1.3.98.6]",NA,"Core"
"K22447","archaeal chaperonin",NA,"Core"
"K22469","ribonuclease FAU-1 [EC:3.1.26.-]",NA,"Core"
"K22585","DNA repair protein NreA",NA,"Core"
"K22699","sulfide-dependent adenosine diphosphate thiazole synthase [EC:2.4.2.59]",NA,"Core"
"K22969","glucose 1-dehydrogenase [EC:1.1.1.47]",NA,"Core"
"K23144","UDP-N-acetylglucosamine diphosphorylase / glucose-1-phosphate thymidylyltransferase / UDP-N-acetylgalactosamine diphosphorylase / glucosamine-1-phosphate N-acetyltransferase / galactosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.7.7.24 2.7.7.83 2.3.1.157 2.3.1.276]",NA,"Core"
"K23188","iron-siderophore transport system ATP-binding protein [EC:7.2.2.17 7.2.2.-]",NA,"Core"
"K23265","phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]",NA,"Core"
"K23269","phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]",NA,"Core"
"K23349","putative dimethyl sulfoxide reductase chaperone",NA,"Core"
