"KO","name","definition"
"K22870","zinc finger protein 423",NA
"K24131","protease PrsW [EC:3.4.-.-]",NA
"K00793","riboflavin synthase [EC:2.5.1.9]",NA
"K09667","protein O-GlcNAc transferase [EC:2.4.1.255]",NA
"K07442","tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]",NA
"K05814","sn-glycerol 3-phosphate transport system permease protein",NA
"K05815","sn-glycerol 3-phosphate transport system permease protein",NA
"K01887","arginyl-tRNA synthetase [EC:6.1.1.19]",NA
"K03315","Na+:H+ antiporter, NhaC family",NA
"K21827","IclR family transcriptional regulator, arginine deiminase pathway regulator",NA
"K06877","DEAD/DEAH box helicase domain-containing protein",NA
"K14445","solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5",NA
"K23347","probable Kdp system regulatory protein",NA
"K19712","adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.7.62]",NA
"K00926","carbamate kinase [EC:2.7.2.2]",NA
"K01478","arginine deiminase [EC:3.5.3.6]",NA
"K24719","smc-like protein Sph1",NA
"K00558","DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]",NA
"K03294","basic amino acid/polyamine antiporter, APA family",NA
"K23307","gas vesicle operon resressor",NA
"K23263","gas vesicle minor protein",NA
"K09816","zinc transport system permease protein",NA
"K09817","zinc transport system ATP-binding protein [EC:7.2.2.20]",NA
"K09815","zinc transport system substrate-binding protein",NA
"K05813","sn-glycerol 3-phosphate transport system substrate-binding protein",NA
"K10112","multiple sugar transport system ATP-binding protein [EC:7.5.2.-]",NA
"K03782","catalase-peroxidase [EC:1.11.1.21]",NA
"K01026","propionate CoA-transferase [EC:2.8.3.1]",NA
"K04655","hydrogenase expression/formation protein HypE",NA
"K01077","alkaline phosphatase [EC:3.1.3.1]",NA
"K03699","magnesium and cobalt exporter, CNNM family",NA
"K06920","7-cyano-7-deazaguanine synthase [EC:6.3.4.20]",NA
"K28565","archaeal glyceryl transferase [EC:2.5.1.-]",NA
"K09136","ribosomal protein S12 methylthiotransferase accessory factor",NA
"K00600","glycine hydroxymethyltransferase [EC:2.1.2.1]",NA
"K06889","uncharacterized protein",NA
"K11212","LPPG:FO 2-phospho-L-lactate transferase [EC:2.7.8.28]",NA
"K00809","deoxyhypusine synthase [EC:2.5.1.46]",NA
"K00133","aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]",NA
"K03680","translation initiation factor eIF-2B subunit delta",NA
"K24956","protein archease",NA
"K06930","HTH-type transcriptional regulator, bacterioopsin transcriptional activator and related proteins",NA
"K02683","DNA primase small subunit [EC:2.7.7.102]",NA
"K00606","3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]",NA
"K00764","amidophosphoribosyltransferase [EC:2.4.2.14]",NA
"K10742","DNA replication ATP-dependent helicase/nuclease Dna2 [EC:5.6.2.3 3.1.-.-]",NA
"K06965","protein pelota",NA
"K07739","elongator complex protein 3 (tRNA carboxymethyluridine synthase) [EC:2.3.1.311]",NA
"K03575","A/G-specific adenine glycosylase [EC:3.2.2.31]",NA
"K11263","acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.4.1.- 6.3.4.14]",NA
"K03281","chloride channel protein, CIC family",NA
"K00798","cob(I)alamin adenosyltransferase [EC:2.5.1.17]",NA
"K03404","magnesium chelatase subunit D [EC:6.6.1.1]",NA
"K02230","cobaltochelatase CobN [EC:6.6.1.2]",NA
"K06042","precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60]",NA
"K03399","cobalt-precorrin-7 (C5)-methyltransferase [EC:2.1.1.289]",NA
"K02232","adenosylcobyric acid synthase [EC:6.3.5.10]",NA
"K02227","adenosylcobinamide-phosphate synthase [EC:6.3.1.10]",NA
"K02233","adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26]",NA
"K15495","molybdate/tungstate transport system substrate-binding protein",NA
"K00605","glycine cleavage system T protein (aminomethyltransferase) [EC:2.1.2.10]",NA
"K07049","TatD-related deoxyribonuclease",NA
"K02009","cobalt/nickel transport protein",NA
"K02007","cobalt/nickel transport system permease protein",NA
"K00525","ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]",NA
"K01658","anthranilate synthase component II [EC:4.1.3.27]",NA
"K01657","anthranilate synthase component I [EC:4.1.3.27]",NA
"K01817","phosphoribosylanthranilate isomerase [EC:5.3.1.24]",NA
"K01591","orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]",NA
"K08977","bisanhydrobacterioruberin hydratase [EC:4.2.1.161]",NA
"K02930","large subunit ribosomal protein L4e",NA
"K02931","large subunit ribosomal protein L5",NA
"K02907","large subunit ribosomal protein L30",NA
"K03076","preprotein translocase subunit SecY",NA
"K03177","tRNA pseudouridine55 synthase [EC:5.4.99.25]",NA
"K07140","MOSC domain-containing protein",NA
"K03057","transcription factor S",NA
"K07238","zinc transporter, ZIP family",NA
"K06942","ribosome-binding ATPase",NA
"K01669","deoxyribodipyrimidine photo-lyase [EC:4.1.99.3]",NA
"K20611","1-hydroxy-2-isopentenylcarotenoid 3,4-desaturase [EC:1.3.99.37]",NA
"K01724","4a-hydroxytetrahydrobiopterin dehydratase [EC:4.2.1.96]",NA
"K24866","precorrin-2 dehydrogenase [EC:1.3.1.76]",NA
"K02316","DNA primase [EC:2.7.7.101]",NA
"K01955","carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]",NA
"K01823","isopentenyl-diphosphate Delta-isomerase [EC:5.3.3.2]",NA
"K03638","molybdopterin adenylyltransferase [EC:2.7.7.75]",NA
"K01934","5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]",NA
"K01937","CTP synthase [EC:6.3.4.2]",NA
"K07018","uncharacterized protein",NA
"K01868","threonyl-tRNA synthetase [EC:6.1.1.3]",NA
"K19802","L-Ala-D/L-Glu epimerase / N-acetyl-D-glutamate racemase [EC:5.1.1.20 5.1.1.25]",NA
"K26272","D-glutamate N-acetyltransferase [EC:2.3.1.312]",NA
"K09482","glutamyl-tRNA(Gln) amidotransferase subunit D [EC:6.3.5.7]",NA
"K01126","glycerophosphoryl diester phosphodiesterase [EC:3.1.4.46]",NA
"K10716","voltage-gated potassium channel",NA
"K28566","archaeal glyceryl transferase [EC:2.5.1.-]",NA
"K08963","methylthioribose-1-phosphate isomerase [EC:5.3.1.23]",NA
"K23315","chemotactic signal transduction system substrate-binding protein BasB",NA
"K01619","deoxyribose-phosphate aldolase [EC:4.1.2.4]",NA
"K15865","threonylcarbamoyladenosine tRNA methylthiotransferase [EC:2.8.4.5]",NA
"K19710","ATP adenylyltransferase [EC:2.7.7.53]",NA
"K11070","spermidine/putrescine transport system permease protein",NA
"K11072","spermidine/putrescine transport system ATP-binding protein [EC:7.6.2.11]",NA
"K02064","thiamine transport system substrate-binding protein",NA
"K00278","L-aspartate oxidase [EC:1.4.3.16]",NA
"K00767","nicotinate-nucleotide pyrophosphorylase (carboxylating) [EC:2.4.2.19]",NA
"K03297","small multidrug resistance pump",NA
"K15633","2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]",NA
"K06888","uncharacterized protein",NA
"K06199","fluoride exporter",NA
"K11781","5-amino-6-(D-ribitylamino)uracil---L-tyrosine 4-hydroxyphenyl transferase [EC:2.5.1.147]",NA
"K01923","phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]",NA
"K06936","archaeosine synthase beta-subunit [EC:2.6.1.-]",NA
"K01433","formyltetrahydrofolate deformylase [EC:3.5.1.10]",NA
"K07557","archaeosine synthase alpha-subunit [EC:2.6.1.97 2.6.1.-]",NA
"K00864","glycerol kinase [EC:2.7.1.30]",NA
"K00111","glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]",NA
"K00112","glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]",NA
"K00113","glycerol-3-phosphate dehydrogenase subunit C",NA
"K07583","tRNA pseudouridine synthase 10 [EC:5.4.99.25]",NA
"K07503","endonuclease [EC:3.1.-.-]",NA
"K03072","preprotein translocase subunit SecD",NA
"K03074","preprotein translocase subunit SecF",NA
"K01810","glucose-6-phosphate isomerase [EC:5.3.1.9]",NA
"K07052","CAAX protease family protein",NA
"K02626","arginine decarboxylase [EC:4.1.1.19]",NA
"K08602","oligoendopeptidase F [EC:3.4.24.-]",NA
"K00946","thiamine-monophosphate kinase [EC:2.7.4.16]",NA
"K04566","lysyl-tRNA synthetase, class I [EC:6.1.1.6]",NA
"K06167","phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]",NA
"K00632","acetyl-CoA acyltransferase [EC:2.3.1.16]",NA
"K01897","long-chain-fatty-acid---CoA ligase [EC:6.2.1.3]",NA
"K01875","seryl-tRNA synthetase [EC:6.1.1.11]",NA
"K01069","hydroxyacylglutathione hydrolase [EC:3.1.2.6]",NA
"K09120","endonuclease dU",NA
"K02042","phosphonate transport system permease protein",NA
"K02041","phosphonate transport system ATP-binding protein [EC:7.3.2.2]",NA
"K02044","phosphonate transport system substrate-binding protein",NA
"K02501","imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]",NA
"K00555","tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216]",NA
"K01915","glutamine synthetase [EC:6.3.1.2]",NA
"K01659","2-methylcitrate synthase [EC:2.3.3.5]",NA
"K06932","tRNA(Ile2)-agmatinylcytidine synthase [EC:6.3.4.22]",NA
"K00762","orotate phosphoribosyltransferase [EC:2.4.2.10]",NA
"K02858","3,4-dihydroxy 2-butanone 4-phosphate synthase [EC:4.1.99.12]",NA
"K07732","riboflavin kinase, archaea type [EC:2.7.1.161]",NA
"K03609","septum site-determining protein MinD",NA
"K02118","V/A-type H+/Na+-transporting ATPase subunit B",NA
"K02119","V/A-type H+/Na+-transporting ATPase subunit C",NA
"K02123","V/A-type H+/Na+-transporting ATPase subunit I",NA
"K03521","electron transfer flavoprotein beta subunit",NA
"K03522","electron transfer flavoprotein alpha subunit",NA
"K00971","mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]",NA
"K02503","histidine triad (HIT) family protein [EC:3.9.1.-]",NA
"K01870","isoleucyl-tRNA synthetase [EC:6.1.1.5]",NA
"K17686","P-type Cu+ transporter [EC:7.2.2.8]",NA
"K00948","ribose-phosphate pyrophosphokinase [EC:2.7.6.1]",NA
"K15778","phosphomannomutase / phosphoglucomutase [EC:5.4.2.8 5.4.2.2]",NA
"K01170","tRNA-intron endonuclease, archaea type [EC:4.6.1.16]",NA
"K12854","pre-mRNA-splicing helicase BRR2 [EC:5.6.2.6]",NA
"K00162","pyruvate dehydrogenase E1 component subunit beta [EC:1.2.4.1]",NA
"K00382","dihydrolipoyl dehydrogenase [EC:1.8.1.4]",NA
"K04518","prephenate dehydratase [EC:4.2.1.51]",NA
"K01869","leucyl-tRNA synthetase [EC:6.1.1.4]",NA
"K19244","alanine dehydrogenase [EC:1.4.1.1]",NA
"K01866","tyrosyl-tRNA synthetase [EC:6.1.1.1]",NA
"K09150","uncharacterized protein",NA
"K00784","ribonuclease Z [EC:3.1.26.11]",NA
"K07446","tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]",NA
"K12960","5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]",NA
"K03552","holliday junction resolvase [EC:3.1.21.10]",NA
"K18882","DNA primase large subunit",NA
"K09125","queuosine precursor transporter",NA
"K07456","DNA mismatch repair protein MutS2",NA
"K01807","ribose 5-phosphate isomerase A [EC:5.3.1.6]",NA
"K07393","glutathionyl-hydroquinone reductase [EC:1.8.5.7]",NA
"K01872","alanyl-tRNA synthetase [EC:6.1.1.7]",NA
"K01846","methylaspartate mutase sigma subunit [EC:5.4.99.1]",NA
"K19268","methylaspartate mutase epsilon subunit [EC:5.4.99.1]",NA
"K04835","methylaspartate ammonia-lyase [EC:4.3.1.2]",NA
"K18290","itaconyl-CoA hydratase [EC:4.2.1.56]",NA
"K18118","succinyl-CoA:acetate CoA-transferase [EC:2.8.3.18]",NA
"K01814","phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]",NA
"K07462","single-stranded-DNA-specific exonuclease [EC:3.1.-.-]",NA
"K06934","uncharacterized protein",NA
"K00641","homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]",NA
"K01755","argininosuccinate lyase [EC:4.3.2.1]",NA
"K01940","argininosuccinate synthase [EC:6.3.4.5]",NA
"K01620","threonine aldolase [EC:4.1.2.48]",NA
"K03110","fused signal recognition particle receptor",NA
"K07055","tRNA wybutosine-synthesizing protein 2 [EC:2.5.1.114]",NA
"K02040","phosphate transport system substrate-binding protein",NA
"K01889","phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]",NA
"K07577","putative mRNA 3-end processing factor",NA
"K02991","small subunit ribosomal protein S6e",NA
"K06971","uncharacterized protein",NA
"K02031","peptide/nickel transport system ATP-binding protein",NA
"K12368","dipeptide transport system substrate-binding protein",NA
"K12370","dipeptide transport system permease protein",NA
"K16869","octanoyl-[GcvH]:protein N-octanoyltransferase [EC:2.3.1.204]",NA
"K00763","nicotinate phosphoribosyltransferase [EC:6.3.4.21]",NA
"K02015","iron complex transport system permease protein",NA
"K00033","6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",NA
"K00941","hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]",NA
"K01299","carboxypeptidase Taq [EC:3.4.17.19]",NA
"K22469","ribonuclease FAU-1 [EC:3.1.26.-]",NA
"K03701","excinuclease ABC subunit A",NA
"K00003","homoserine dehydrogenase [EC:1.1.1.3]",NA
"K03041","DNA-directed RNA polymerase subunit A' [EC:2.7.7.6]",NA
"K24447","archaeosortase A [EC:3.4.22.-]",NA
"K07151","dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]",NA
"K00820","glutamine---fructose-6-phosphate transaminase (isomerizing) [EC:2.6.1.16]",NA
"K23144","UDP-N-acetylglucosamine diphosphorylase / glucose-1-phosphate thymidylyltransferase / UDP-N-acetylgalactosamine diphosphorylase / glucosamine-1-phosphate N-acetyltransferase / galactosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.7.7.24 2.7.7.83 2.3.1.157 2.3.1.276]",NA
"K02473","UDP-N-acetylglucosamine/UDP-N-acetyl-alpha-D-glucosaminouronate 4-epimerase [EC:5.1.3.7 5.1.3.45]",NA
"K03635","molybdopterin synthase catalytic subunit [EC:2.8.1.12]",NA
"K03639","GTP 3',8-cyclase [EC:4.1.99.22]",NA
"K00573","protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]",NA
"K00150","glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]",NA
"K00058","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]",NA
"K06147","ATP-binding cassette, subfamily B, bacterial",NA
"K18981","uronate dehydrogenase [EC:1.1.1.203]",NA
"K07466","replication factor A1",NA
"K24450","DNA-binding protein",NA
"K07558","tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72]",NA
"K01534","Zn2+/Cd2+-exporting ATPase [EC:7.2.2.12 7.2.2.21]",NA
"K06196","cytochrome c-type biogenesis protein",NA
"K08177","MFS transporter, OFA family, oxalate/formate antiporter",NA
"K00874","2-dehydro-3-deoxygluconokinase [EC:2.7.1.45]",NA
"K03572","DNA mismatch repair protein MutL",NA
"K03555","DNA mismatch repair protein MutS",NA
"K03432","proteasome alpha subunit [EC:3.4.25.1]",NA
"K07027","glycosyltransferase 2 family protein",NA
"K03924","MoxR-like ATPase [EC:3.6.3.-]",NA
"K09005","uncharacterized protein",NA
"K08979","putative membrane protein",NA
"K06176","tRNA pseudouridine13 synthase [EC:5.4.99.27]",NA
"K04794","peptidyl-tRNA hydrolase, PTH2 family [EC:3.1.1.29]",NA
"K09722","4-phosphopantoate---beta-alanine ligase [EC:6.3.2.36]",NA
"K06982","pantoate kinase [EC:2.7.1.169]",NA
"K03469","ribonuclease HI [EC:3.1.26.4]",NA
"K13693","glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]",NA
"K07491","REP-associated tyrosine transposase",NA
"K22205","S-adenosyl-L-methionine hydrolase (adenosine-forming) [EC:3.13.2.3]",NA
"K00952","nicotinamide-nucleotide adenylyltransferase [EC:2.7.7.1]",NA
"K00567","methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63]",NA
"K01609","indole-3-glycerol phosphate synthase [EC:4.1.1.48]",NA
"K01696","tryptophan synthase beta chain [EC:4.2.1.20]",NA
"K01695","tryptophan synthase alpha chain [EC:4.2.1.20]",NA
"K23683","glycosyltransferase AglD [EC:2.4.1.-]",NA
"K01874","methionyl-tRNA synthetase [EC:6.1.1.10]",NA
"K18933","tyrosine decarboxylase / aspartate 1-decarboxylase [EC:4.1.1.25 4.1.1.11]",NA
"K06013","STE24 endopeptidase [EC:3.4.24.84]",NA
"K01007","pyruvate, water dikinase [EC:2.7.9.2]",NA
"K00772","5'-methylthioadenosine phosphorylase [EC:2.4.2.28]",NA
"K05896","segregation and condensation protein A",NA
"K03529","chromosome segregation protein",NA
"K02434","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B [EC:6.3.5.6 6.3.5.7]",NA
"K03743","nicotinamide-nucleotide amidase [EC:3.5.1.42]",NA
"K09716","D-aminoacyl-tRNA deacylase [EC:3.1.1.96]",NA
"K00014","shikimate dehydrogenase [EC:1.1.1.25]",NA
"K07743","transcriptional regulator",NA
"K00973","glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]",NA
"K06927","diphthine-ammonia ligase [EC:6.3.1.14]",NA
"K09738","uncharacterized protein",NA
"K10773","endonuclease III [EC:3.2.2.- 4.2.99.18]",NA
"K07041","uncharacterized protein",NA
"K01881","prolyl-tRNA synthetase [EC:6.1.1.15]",NA
"K00096","glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]",NA
"K00796","dihydropteroate synthase [EC:2.5.1.15]",NA
"K00602","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10]",NA
"K07398","conserved protein with predicted RNA binding PUA domain",NA
"K12940","aminobenzoyl-glutamate utilization protein A",NA
"K01714","4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]",NA
"K26599","HTH-type transcriptional regulator, activator of D-glucose/D-fructose catabolism",NA
"K00390","phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]",NA
"K17830","digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]",NA
"K05606","methylmalonyl-CoA/ethylmalonyl-CoA epimerase [EC:5.1.99.1]",NA
"K01848","methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]",NA
"K03686","molecular chaperone DnaJ",NA
"K04043","molecular chaperone DnaK",NA
"K03687","molecular chaperone GrpE",NA
"K14835","25S rRNA (cytosine2870-C5)-methyltransferase [EC:2.1.1.310]",NA
"K06869","uncharacterized protein",NA
"K00812","aspartate aminotransferase [EC:2.6.1.1]",NA
"K03547","DNA repair protein SbcD/Mre11",NA
"K03546","DNA repair protein SbcC/Rad50",NA
"K09013","Fe-S cluster assembly ATP-binding protein",NA
"K07080","uncharacterized protein",NA
"K07159","uncharacterized protein",NA
"K05568","multicomponent Na+:H+ antiporter subunit D",NA
"K05571","multicomponent Na+:H+ antiporter subunit G",NA
"K13038","phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]",NA
"K17942","phosphomevalonate decarboxylase [EC:4.1.1.99]",NA
"K06929","uncharacterized protein",NA
"K04773","protease IV [EC:3.4.21.-]",NA
"K18208","renalase [EC:1.6.3.5]",NA
"K01644","citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]",NA
"K00342","NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]",NA
"K00343","NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]",NA
"K01998","branched-chain amino acid transport system permease protein",NA
"K02276","cytochrome c oxidase subunit III [EC:7.1.1.9]",NA
"K03524","BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]",NA
"K07588","GTPase [EC:3.6.5.-]",NA
"K00626","acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",NA
"K00801","farnesyl-diphosphate farnesyltransferase [EC:2.5.1.21]",NA
"K00074","3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]",NA
"K03841","fructose-1,6-bisphosphatase I [EC:3.1.3.11]",NA
"K22223","phosphoglycolate phosphatase [EC:3.1.3.18]",NA
"K01784","UDP-glucose 4-epimerase [EC:5.1.3.2]",NA
"K07254","tRNA (cytidine56-2'-O)-methyltransferase [EC:2.1.1.206]",NA
"K19302","undecaprenyl-diphosphatase [EC:3.6.1.27]",NA
"K07463","archaea-specific RecJ-like exonuclease",NA
"K07335","basic membrane protein A and related proteins",NA
"K03753","molybdopterin-guanine dinucleotide biosynthesis adapter protein",NA
"K07306","anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]",NA
"K00185","dimethyl sulfoxide reductase membrane subunit",NA
"K23349","putative dimethyl sulfoxide reductase chaperone",NA
"K01673","carbonic anhydrase [EC:4.2.1.1]",NA
"K07561","2-(3-amino-3-carboxypropyl)histidine synthase [EC:2.5.1.108]",NA
"K01933","phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]",NA
"K10747","DNA ligase 1 [EC:6.5.1.1 6.5.1.6 6.5.1.7]",NA
"K03167","DNA topoisomerase VI subunit B [EC:5.6.2.2]",NA
"K02470","DNA gyrase subunit B [EC:5.6.2.2]",NA
"K02469","DNA gyrase subunit A [EC:5.6.2.2]",NA
"K03885","NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]",NA
"K11928","sodium/proline symporter",NA
"K02010","iron(III) transport system ATP-binding protein [EC:7.2.2.7]",NA
"K02012","iron(III) transport system substrate-binding protein",NA
"K03407","two-component system, chemotaxis family, sensor kinase CheA [EC:2.7.13.3]",NA
"K07325","archaeal flagellin FlaB",NA
"K08096","GTP cyclohydrolase IIa [EC:3.5.4.29]",NA
"K02346","DNA polymerase IV [EC:2.7.7.7]",NA
"K07257","spore coat polysaccharide biosynthesis protein SpsF",NA
"K21306","dolichyl-phosphooligosaccharide-protein glycotransferase [EC:2.4.99.21]",NA
"K20215","diphthine synthase [EC:2.1.1.98]",NA
"K00311","electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]",NA
"K15016","enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]",NA
"K03465","thymidylate synthase (FAD) [EC:2.1.1.148]",NA
"K08981","putative membrane protein",NA
"K09167","uncharacterized protein",NA
"K01679","fumarate hydratase, class II [EC:4.2.1.2]",NA
"K28485","intramembrane aspartyl peptidase",NA
"K03105","signal recognition particle subunit SRP19",NA
"K18672","diadenylate cyclase [EC:2.7.7.85]",NA
"K06048","glutamate---cysteine ligase / carboxylate-amine ligase [EC:6.3.2.2 6.3.-.-]",NA
"K02004","putative ABC transport system permease protein",NA
"K06950","uncharacterized protein",NA
"K02224","cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",NA
"K10844","DNA excision repair protein ERCC-2 [EC:5.6.2.3]",NA
"K04800","replication factor C large subunit",NA
"K00404","cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]",NA
"K03601","exodeoxyribonuclease VII large subunit [EC:3.1.11.6]",NA
"K00610","aspartate carbamoyltransferase regulatory subunit",NA
"K23316","chemotactic signal transduction system substrate-binding protein CosB",NA
"K09792","uncharacterized protein",NA
"K06953","uncharacterized protein",NA
"K13677","1,2-diacylglycerol-3-alpha-glucose alpha-1,2-glucosyltransferase [EC:2.4.1.208]",NA
"K09164","uncharacterized protein",NA
"K01556","kynureninase [EC:3.7.1.3]",NA
"K08678","UDP-glucuronate decarboxylase [EC:4.1.1.35]",NA
"K01079","phosphoserine phosphatase [EC:3.1.3.3]",NA
"K01740","O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]",NA
"K02323","DNA polymerase II small subunit [EC:2.7.7.7]",NA
"K13280","signal peptidase I [EC:3.4.21.89]",NA
"K07163","uncharacterized protein",NA
"K01011","thiosulfate/3-mercaptopyruvate sulfurtransferase [EC:2.8.1.1 2.8.1.2]",NA
"K01880","glycyl-tRNA synthetase [EC:6.1.1.14]",NA
"K02035","peptide/nickel transport system substrate-binding protein",NA
"K02322","DNA polymerase II large subunit [EC:2.7.7.7]",NA
"K01845","glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",NA
"K19221","cob(I)alamin adenosyltransferase [EC:2.5.1.17]",NA
"K00872","homoserine kinase [EC:2.7.1.39]",NA
"K14415","tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]",NA
"K10843","DNA excision repair protein ERCC-3 [EC:5.6.2.4]",NA
"K04517","prephenate dehydrogenase [EC:1.3.1.12]",NA
"K01468","imidazolonepropionase [EC:3.5.2.7]",NA
"K07333","archaeal flagellar protein FlaJ",NA
"K02433","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit A [EC:6.3.5.6 6.3.5.7]",NA
"K08971","putative membrane protein",NA
"K09190","uncharacterized protein",NA
"K01883","cysteinyl-tRNA synthetase [EC:6.1.1.16]",NA
"K01939","adenylosuccinate synthase [EC:6.3.4.4]",NA
"K02551","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase [EC:2.2.1.9]",NA
"K23684","dolichol-phosphate hexosyltransferase [EC:2.4.1.-]",NA
"K00012","UDPglucose 6-dehydrogenase [EC:1.1.1.22]",NA
"K00817","histidinol-phosphate aminotransferase [EC:2.6.1.9]",NA
"K27501","putrescine/cadaverine/1,3-diaminopropane N-hydroxylase [EC:1.14.13.252 1.14.13.-]",NA
"K00836","diaminobutyrate-2-oxoglutarate transaminase [EC:2.6.1.76]",NA
"K13745","L-2,4-diaminobutyrate decarboxylase [EC:4.1.1.86]",NA
"K02053","putative spermidine/putrescine transport system permease protein",NA
"K02052","putative spermidine/putrescine transport system ATP-binding protein",NA
"K07142","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]",NA
"K00526","ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]",NA
"K14564","nucleolar protein 56",NA
"K00283","glycine cleavage system P protein (glycine dehydrogenase) subunit 2 [EC:1.4.4.2]",NA
"K03307","solute:Na+ symporter, SSS family",NA
"K01641","hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]",NA
"K23269","phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]",NA
"K01945","phosphoribosylamine---glycine ligase [EC:6.3.4.13]",NA
"K00789","S-adenosylmethionine synthetase [EC:2.5.1.6]",NA
"K28366","rhomboid family protease [EC:3.4.21.105]",NA
"K01885","glutamyl-tRNA synthetase [EC:6.1.1.17]",NA
"K25034","cobalamin transport system substrate-binding protein",NA
"K03330","glutamyl-tRNA(Gln) amidotransferase subunit E [EC:6.3.5.7]",NA
"K01547","potassium-transporting ATPase ATP-binding subunit [EC:7.2.2.6]",NA
