locus_tag,protein_id,product
ACNO8S_RS04575,WP_004593356.1,50S ribosomal protein L21e
ACNO8S_RS04580,WP_004593354.1,elongation factor 1-beta
ACNO8S_RS04585,WP_004516620.1,HVO_2753 family zinc finger protein
ACNO8S_RS04590,WP_014039916.1,hypothetical protein
ACNO8S_RS04595,WP_420182555.1,3-hydroxyacyl-CoA dehydrogenase family protein
ACNO8S_RS04600,WP_420182556.1,sugar phosphate isomerase/epimerase family protein
ACNO8S_RS04605,WP_050037765.1,TIGR00266 family protein
ACNO8S_RS04610,WP_004962786.1,cyclic nucleotide-binding/CBS domain-containing protein
ACNO8S_RS04615,WP_420182557.1,Gfo/Idh/MocA family protein
ACNO8S_RS04620,WP_420182558.1,redox-regulated ATPase YchF
ACNO8S_RS04625,WP_420182559.1,hypothetical protein
ACNO8S_RS04630,WP_420182560.1,histidinol dehydrogenase
ACNO8S_RS04635,WP_008310062.1,HesB/IscA family protein
ACNO8S_RS04640,WP_004593332.1,dodecin
ACNO8S_RS04645,WP_014039924.1,hypothetical protein
ACNO8S_RS04650,WP_023843184.1,hypothetical protein
ACNO8S_RS04655,WP_420182561.1,metal-dependent hydrolase
ACNO8S_RS04660,WP_014039927.1,mechanosensitive ion channel domain-containing protein
ACNO8S_RS04665,WP_050006866.1,DUF7116 family protein
ACNO8S_RS04670,WP_014039929.1,DUF5816 domain-containing protein
ACNO8S_RS04675,WP_014039930.1,bifunctional metallophosphatase/5'-nucleotidase
ACNO8S_RS04680,WP_014039931.1,universal stress protein
ACNO8S_RS04685,WP_050037774.1,mechanosensitive ion channel family protein
ACNO8S_RS04690,WP_420182562.1,proteasome assembly chaperone family protein
ACNO8S_RS04695,WP_008310046.1,hypothetical protein
ACNO8S_RS04700,WP_420182563.1,hypothetical protein
ACNO8S_RS04705,WP_420182564.1,translation initiation factor eIF-2B
ACNO8S_RS04710,WP_023843188.1,type IV pilin
ACNO8S_RS04715,WP_050037777.1,DoxX family protein
ACNO8S_RS04720,WP_008310038.1,GNAT family N-acetyltransferase
ACNO8S_RS04725,WP_191449667.1,DNA primase small subunit PriS
ACNO8S_RS04730,WP_420182565.1,hypothetical protein
ACNO8S_RS04735,WP_044951753.1,hypothetical protein
ACNO8S_RS04740,WP_420182566.1,S1C family serine protease
ACNO8S_RS04745,WP_014039944.1,hypothetical protein
ACNO8S_RS04750,WP_420182567.1,heavy metal translocating P-type ATPase
ACNO8S_RS04755,WP_014039946.1,metal-dependent hydrolase
ACNO8S_RS04760,WP_044952180.1,PAS domain-containing sensor histidine kinase
ACNO8S_RS04765,WP_023843189.1,hypothetical protein
ACNO8S_RS04770,WP_064288443.1,dihydroxy-acid dehydratase
ACNO8S_RS04775,WP_420182568.1,beta-ribofuranosylaminobenzene 5'-phosphate synthase family protein
ACNO8S_RS04780,WP_420182569.1,NADH:flavin oxidoreductase/NADH oxidase
ACNO8S_RS04785,WP_420182570.1,DUF368 domain-containing protein
ACNO8S_RS04790,WP_008310015.1,DUF7127 family protein
ACNO8S_RS04795,WP_420182571.1,phosphoribosylamine--glycine ligase
ACNO8S_RS04800,WP_008310011.1,DUF7553 family protein
ACNO8S_RS04805,WP_420182572.1,hypothetical protein
ACNO8S_RS04810,WP_014039956.1,winged helix-turn-helix domain-containing protein
ACNO8S_RS04815,WP_014039957.1,transcription factor S
ACNO8S_RS04820,WP_129754983.1,hypothetical protein
ACNO8S_RS04825,WP_129754984.1,hypothetical protein
ACNO8S_RS04830,WP_014039960.1,RAD55 family ATPase
ACNO8S_RS04835,WP_014039961.1,bisanhydrobacterioruberin hydratase
ACNO8S_RS04840,WP_129754985.1,prenyltransferase
ACNO8S_RS04845,WP_064288450.1,carotenoid 3%2C4-desaturase
ACNO8S_RS04850,WP_146417405.1,M24 family metallopeptidase
ACNO8S_RS04855,WP_008309989.1,hypothetical protein
ACNO8S_RS04860,WP_008309988.1,ribbon-helix-helix domain-containing protein
ACNO8S_RS04865,WP_151103170.1,hypothetical protein
ACNO8S_RS04870,WP_014039966.1,hypothetical protein
ACNO8S_RS04875,WP_044952185.1,VOC family protein
ACNO8S_RS04880,WP_420182573.1,hypothetical protein
ACNO8S_RS04885,WP_044951757.1,DUF5779 family protein
ACNO8S_RS04890,WP_014039970.1,LeuA family protein
ACNO8S_RS04895,WP_420182574.1,biosynthetic-type acetolactate synthase large subunit
ACNO8S_RS04900,WP_008309974.1,acetolactate synthase small subunit
ACNO8S_RS04905,WP_050037790.1,ketol-acid reductoisomerase
ACNO8S_RS04910,WP_023843192.1,hypothetical protein
ACNO8S_RS04915,WP_064288455.1,3-isopropylmalate dehydratase large subunit
ACNO8S_RS04920,WP_014039975.1,3-isopropylmalate dehydratase small subunit
ACNO8S_RS04925,WP_014039976.1,DUF6293 family protein
ACNO8S_RS04930,WP_420182575.1,isocitrate/isopropylmalate dehydrogenase family protein
ACNO8S_RS04935,WP_014039978.1,HTH-type transcriptional regulator GlpR
ACNO8S_RS04940,WP_420182576.1,1-phosphofructokinase
ACNO8S_RS04945,WP_420182577.1,hypothetical protein
ACNO8S_RS04950,WP_004962592.1,class I fructose-bisphosphate aldolase
ACNO8S_RS04955,WP_008309953.1,DUF7557 family protein
ACNO8S_RS04960,WP_050037794.1,DUF5799 family protein
ACNO8S_RS04965,WP_420182578.1,FIST signal transduction protein
ACNO8S_RS04970,WP_050007744.1,OsmC family protein
ACNO8S_RS04975,WP_129754994.1,hypothetical protein
ACNO8S_RS04980,WP_023843193.1,UbiA family prenyltransferase
ACNO8S_RS04985,WP_014039985.1,DnaJ domain-containing protein
ACNO8S_RS04990,WP_008309944.1,DUF1684 domain-containing protein
ACNO8S_RS04995,WP_064288460.1,CPBP family intramembrane glutamic endopeptidase
ACNO8S_RS05000,WP_064288461.1,PAS domain S-box protein
ACNO8S_RS05005,WP_420182579.1,TRAP transporter permease
ACNO8S_RS05010,WP_420182580.1,TAXI family TRAP transporter solute-binding subunit
ACNO8S_RS05015,WP_420182581.1,NAD(P)/FAD-dependent oxidoreductase
ACNO8S_RS05020,WP_023843195.1,response regulator transcription factor
ACNO8S_RS05025,WP_420182582.1,D-2-hydroxyacid dehydrogenase
ACNO8S_RS05030,WP_191449687.1,hypothetical protein
ACNO8S_RS05035,WP_420182583.1,aspartate-semialdehyde dehydrogenase
ACNO8S_RS05040,WP_420182584.1,hypothetical protein
ACNO8S_RS05045,WP_420182585.1,AAA domain-containing protein
ACNO8S_RS05050,WP_151103186.1,tyrosine--tRNA ligase
ACNO8S_RS05055,WP_420182586.1,class I SAM-dependent methyltransferase
ACNO8S_RS05065,WP_014039998.1,hypothetical protein
ACNO8S_RS05070,WP_014039999.1,DNA polymerase IV
ACNO8S_RS05075,WP_044952195.1,hypothetical protein
ACNO8S_RS05080,WP_014040001.1,5%2C6-dimethylbenzimidazole synthase
ACNO8S_RS05085,WP_146417388.1,helicase HerA domain-containing protein
ACNO8S_RS05090,WP_004515640.1,triose-phosphate isomerase
ACNO8S_RS05095,WP_023843197.1,response regulator
ACNO8S_RS05100,WP_023843198.1,multiprotein bridging factor aMBF1
ACNO8S_RS05105,WP_050037808.1,RNA-guided endonuclease InsQ/TnpB family protein
ACNO8S_RS05110,WP_129755051.1,CDP-alcohol phosphatidyltransferase family protein
ACNO8S_RS05115,WP_050037810.1,adenylate kinase family protein
ACNO8S_RS05120,WP_050037811.1,histidinol-phosphate transaminase
ACNO8S_RS05125,WP_050037812.1,chemotaxis protein CheC
ACNO8S_RS05130,WP_008309881.1,hypothetical protein
ACNO8S_RS05135,WP_050007376.1,metal-dependent hydrolase
ACNO8S_RS05140,WP_369802671.1,GMC family oxidoreductase
ACNO8S_RS05145,NA,hypothetical protein
ACNO8S_RS05150,NA,hypothetical protein
ACNO8S_RS05160,WP_014040012.1,twin-arginine translocase TatA/TatE family subunit
ACNO8S_RS05165,WP_004515651.1,hypothetical protein
ACNO8S_RS05170,WP_014040014.1,peroxiredoxin
ACNO8S_RS05175,WP_014040015.1,HD domain-containing protein
ACNO8S_RS05180,WP_044952198.1,hypothetical protein
ACNO8S_RS05185,WP_420182587.1,alanyl-tRNA editing protein
ACNO8S_RS05190,WP_146417382.1,DMT family transporter
ACNO8S_RS05195,WP_014040019.1,5'/3'-nucleotidase SurE
ACNO8S_RS05200,WP_420182588.1,small ribosomal subunit Rsm22 family protein
ACNO8S_RS05205,WP_420182589.1,prephenate dehydrogenase/arogenate dehydrogenase family protein
ACNO8S_RS05210,WP_420182590.1,fumarylacetoacetate hydrolase family protein
ACNO8S_RS05215,WP_165353788.1,halocyanin domain-containing protein
ACNO8S_RS05220,WP_014040024.1,winged helix-turn-helix domain-containing protein
ACNO8S_RS05225,WP_014040025.1,DUF7521 family protein
ACNO8S_RS05230,WP_420182591.1,halocyanin domain-containing protein
ACNO8S_RS05235,WP_050037820.1,cryptochrome/photolyase family protein
ACNO8S_RS05240,WP_420182592.1,ABC1 kinase family protein
ACNO8S_RS05245,WP_420182593.1,heavy metal translocating P-type ATPase
ACNO8S_RS05250,WP_014040030.1,winged helix-turn-helix transcriptional regulator
ACNO8S_RS05255,WP_014040031.1,metal ABC transporter substrate-binding protein
ACNO8S_RS05260,WP_014040032.1,metal ABC transporter ATP-binding protein
ACNO8S_RS05265,WP_014040033.1,metal ABC transporter permease
ACNO8S_RS05270,WP_064288482.1,hypothetical protein
ACNO8S_RS05275,WP_420182594.1,TMEM165/GDT1 family protein
ACNO8S_RS05280,WP_191907479.1,metal-dependent transcriptional regulator
ACNO8S_RS05285,WP_008309829.1,hypothetical protein
ACNO8S_RS05290,WP_008309827.1,MTH865 family protein
ACNO8S_RS05295,WP_165353748.1,hypothetical protein
ACNO8S_RS05300,WP_008309824.1,zinc ribbon domain-containing protein
ACNO8S_RS05305,WP_129755040.1,DJ-1/PfpI family protein
ACNO8S_RS05310,WP_420182595.1,HAD-IIA family hydrolase
ACNO8S_RS05315,WP_014040040.1,response regulator
ACNO8S_RS05320,WP_420182596.1,DUF2071 domain-containing protein
ACNO8S_RS05325,WP_050037829.1,YqjF family protein
ACNO8S_RS05330,WP_420182597.1,macro domain-containing protein
ACNO8S_RS05335,WP_420182598.1,hypothetical protein
ACNO8S_RS05340,WP_420182599.1,aldo/keto reductase
ACNO8S_RS05345,WP_420182600.1,hypothetical protein
ACNO8S_RS05350,WP_014040047.1,CopG family ribbon-helix-helix protein
ACNO8S_RS05355,WP_420182601.1,ABC transporter permease
ACNO8S_RS05360,WP_420182602.1,PrsW family intramembrane metalloprotease
ACNO8S_RS05365,WP_420182603.1,ATP-binding cassette domain-containing protein
ACNO8S_RS05370,WP_420182604.1,SRPBCC family protein
ACNO8S_RS05375,WP_420182605.1,sensor histidine kinase
ACNO8S_RS05380,WP_004593153.1,hypothetical protein
ACNO8S_RS05385,WP_050037838.1,hybrid sensor histidine kinase/response regulator
ACNO8S_RS05390,WP_014040053.1,succinate--CoA ligase subunit alpha
ACNO8S_RS05395,WP_014040054.1,ADP-forming succinate--CoA ligase subunit beta
ACNO8S_RS05400,WP_014040055.1,NAD-dependent protein deacylase
ACNO8S_RS05405,WP_014040056.1,DUF5793 family protein
ACNO8S_RS05410,WP_050037839.1,TIGR04206 family protein
ACNO8S_RS05415,WP_151146549.1,type II/IV secretion system ATPase subunit
ACNO8S_RS05420,WP_151146546.1,type II secretion system F family protein
ACNO8S_RS05425,WP_420182606.1,ATP-dependent DNA ligase LigA
ACNO8S_RS05430,WP_420182607.1,MBL fold metallo-hydrolase
ACNO8S_RS05435,WP_007187990.1,hypothetical protein
ACNO8S_RS05440,WP_420182608.1,PQQ-binding-like beta-propeller repeat protein
ACNO8S_RS05445,WP_008309777.1,DNA topoisomerase IV subunit A
ACNO8S_RS05450,WP_420182609.1,DNA topoisomerase VI subunit B
ACNO8S_RS05455,WP_014040064.1,DNA topoisomerase (ATP-hydrolyzing) subunit B
ACNO8S_RS05460,WP_420182610.1,DNA gyrase subunit A
ACNO8S_RS05465,WP_014040066.1,FAD-binding oxidoreductase
ACNO8S_RS05470,WP_014040067.1,arginase
ACNO8S_RS05475,WP_014040068.1,NAD-dependent epimerase/dehydratase family protein
ACNO8S_RS05480,WP_004515710.1,Rrf2 family transcriptional regulator
ACNO8S_RS05485,WP_420182611.1,NAD(P)/FAD-dependent oxidoreductase
ACNO8S_RS05490,WP_420182612.1,nucleoside phosphorylase
ACNO8S_RS05495,WP_004593122.1,cytidine deaminase
ACNO8S_RS05500,WP_420182613.1,phosphopentomutase/phosphoglucosamine mutase
ACNO8S_RS05505,WP_008309732.1,archaeal proteasome endopeptidase complex subunit beta
ACNO8S_RS05510,WP_420182614.1,hypothetical protein
ACNO8S_RS05515,WP_004515717.1,DUF555 domain-containing protein
ACNO8S_RS05520,WP_420182615.1,CBS domain-containing protein
ACNO8S_RS05525,WP_014040074.1,hypothetical protein
ACNO8S_RS05530,WP_420182616.1,phosphoribosylformylglycinamidine cyclo-ligase
ACNO8S_RS05535,WP_014040076.1,site-2 protease family protein
ACNO8S_RS05540,WP_420182617.1,TraB/GumN family protein
ACNO8S_RS05545,WP_004515723.1,PadR family transcriptional regulator
ACNO8S_RS05550,WP_008309716.1,acyl-CoA thioesterase
ACNO8S_RS05555,WP_014040079.1,hypothetical protein
ACNO8S_RS05560,WP_014040080.1,HEWD family protein
ACNO8S_RS05565,WP_420182618.1,oligosaccharyl transferase%2C archaeosortase A system-associated
ACNO8S_RS05570,WP_420182619.1,glucosyl-dolichyl phosphate glucuronosyltransferase
ACNO8S_RS05575,WP_064287911.1,sulfatase-like hydrolase/transferase
ACNO8S_RS05580,WP_064287912.1,lysylphosphatidylglycerol synthase transmembrane domain-containing protein
ACNO8S_RS05585,WP_014040085.1,glycosyltransferase family 2 protein
ACNO8S_RS05590,WP_023843212.1,glycosyltransferase family 39 protein
ACNO8S_RS05595,WP_420182620.1,glycosyltransferase family 4 protein
ACNO8S_RS05600,WP_420182621.1,flippase
ACNO8S_RS05605,WP_420182622.1,hypothetical protein
ACNO8S_RS05610,WP_420182623.1,glycosyltransferase family 4 protein
ACNO8S_RS05615,WP_420182624.1,alkaline phosphatase family protein
ACNO8S_RS05620,WP_420182625.1,sulfatase
ACNO8S_RS05625,WP_014040092.1,TrmB family transcriptional regulator
ACNO8S_RS05630,WP_014040093.1,S-layer glycoprotein N-glycosyltransferase AglJ
ACNO8S_RS05635,WP_008309691.1,hypothetical protein
ACNO8S_RS05640,WP_014040094.1,winged helix-turn-helix transcriptional regulator
ACNO8S_RS05645,WP_420182626.1,DoxX family membrane protein
ACNO8S_RS05650,WP_420182627.1,rhomboid family intramembrane serine protease
ACNO8S_RS05655,WP_191449280.1,METTL5 family protein
ACNO8S_RS05660,WP_420182628.1,ATP-binding protein
ACNO8S_RS05665,WP_420182629.1,ATP-binding protein
ACNO8S_RS05670,WP_008309678.1,response regulator
ACNO8S_RS05675,WP_420182630.1,ATP-binding protein
ACNO8S_RS05680,WP_050037863.1,diphthamide biosynthesis enzyme Dph2
ACNO8S_RS05685,WP_050038286.1,methyl-accepting chemotaxis protein
ACNO8S_RS05690,WP_008309674.1,YlbF family regulator
ACNO8S_RS05695,WP_008309672.1,universal stress protein
ACNO8S_RS05700,WP_050037865.1,MBL fold metallo-hydrolase
ACNO8S_RS05705,WP_129755012.1,hypothetical protein
ACNO8S_RS05710,WP_420182631.1,hypothetical protein
ACNO8S_RS05715,WP_420182632.1,ABC transporter permease
ACNO8S_RS05720,WP_420182633.1,ATP-binding cassette domain-containing protein
ACNO8S_RS05725,WP_420182634.1,right-handed parallel beta-helix repeat-containing protein
ACNO8S_RS05730,WP_014040109.1,hypothetical protein
ACNO8S_RS05735,WP_129755008.1,TAT-dependent nitrous-oxide reductase
ACNO8S_RS05740,WP_050007404.1,plastocyanin/azurin family copper-binding protein
ACNO8S_RS05745,WP_050037872.1,DUF7260 family protein
ACNO8S_RS05750,WP_014040113.1,IclR family transcriptional regulator
ACNO8S_RS05755,WP_008309650.1,glutamate dehydrogenase GdhB
ACNO8S_RS05760,WP_049942903.1,arginase
ACNO8S_RS05765,WP_014040115.1,aspartate aminotransferase family protein
ACNO8S_RS05770,WP_014040116.1,basic amino acid ABC transporter substrate-binding protein
ACNO8S_RS05775,WP_014040117.1,amino acid ABC transporter permease
ACNO8S_RS05780,WP_014040118.1,amino acid ABC transporter ATP-binding protein
ACNO8S_RS05785,WP_420182635.1,amino acid ABC transporter permease
ACNO8S_RS05790,WP_050037877.1,helix-turn-helix domain-containing protein
ACNO8S_RS05795,WP_064287928.1,tyrosine-type recombinase/integrase
ACNO8S_RS05800,WP_151103272.1,DUF5805 domain-containing protein
ACNO8S_RS05805,WP_004962120.1,hypothetical protein
ACNO8S_RS05810,WP_023843222.1,hypothetical protein
ACNO8S_RS05815,WP_050007401.1,hypothetical protein
ACNO8S_RS05820,WP_014040126.1,HAMP domain-containing protein
ACNO8S_RS05825,WP_420182784.1,ABC transporter substrate-binding protein
ACNO8S_RS05830,WP_420182636.1,bifunctional 2-dehydro-3-deoxygluconokinase/2-dehydro-3-deoxygalactonokinase
ACNO8S_RS05835,WP_050038287.1,pyruvate kinase
ACNO8S_RS05840,WP_420182637.1,ROK family protein
ACNO8S_RS05845,WP_050037880.1,Cdc6/Cdc18 family protein
ACNO8S_RS05850,WP_014040132.1,hypothetical protein
ACNO8S_RS05855,WP_064287933.1,glycerol kinase GlpK
ACNO8S_RS05860,WP_420182638.1,extracellular solute-binding protein
ACNO8S_RS05865,WP_420182639.1,anaerobic glycerol-3-phosphate dehydrogenase subunit GlpA
ACNO8S_RS05870,WP_420182640.1,glycerol-3-phosphate dehydrogenase subunit GlpB
ACNO8S_RS05875,WP_420182641.1,anaerobic glycerol-3-phosphate dehydrogenase subunit C
ACNO8S_RS05880,WP_008309612.1,universal stress protein
ACNO8S_RS05885,WP_050037886.1,phosphoenolpyruvate carboxylase
ACNO8S_RS05890,WP_014040140.1,helix-turn-helix domain-containing protein
ACNO8S_RS05895,WP_023843227.1,hypothetical protein
ACNO8S_RS05900,WP_420182642.1,ABC transporter substrate-binding protein
ACNO8S_RS05905,WP_151146475.1,ABC transporter ATP-binding protein
ACNO8S_RS05910,WP_420182643.1,ABC transporter ATP-binding protein
ACNO8S_RS05915,WP_420182644.1,branched-chain amino acid ABC transporter permease
ACNO8S_RS05920,WP_079980826.1,branched-chain amino acid ABC transporter permease
ACNO8S_RS05925,WP_080510065.1,alpha/beta fold hydrolase
ACNO8S_RS05930,WP_420182645.1,AMP-binding protein
ACNO8S_RS05935,WP_420182646.1,PAS domain S-box protein
ACNO8S_RS05940,WP_014040150.1,mandelate racemase/muconate lactonizing enzyme family protein
ACNO8S_RS05950,WP_014040151.1,right-handed parallel beta-helix repeat-containing protein
ACNO8S_RS05955,WP_050038293.1,DEAD/DEAH box helicase
ACNO8S_RS05960,WP_050037936.1,DUF790 family protein
ACNO8S_RS05965,WP_420182647.1,nucleotidyltransferase family protein
ACNO8S_RS05970,WP_420182648.1,hypothetical protein
ACNO8S_RS05975,WP_336357975.1,lasso peptide biosynthesis B2 protein
ACNO8S_RS05980,WP_420182649.1,PqqD family peptide modification chaperone
ACNO8S_RS05985,WP_420182650.1,ABC transporter ATP-binding protein
ACNO8S_RS05990,WP_014040158.1,DUF7122 family protein
ACNO8S_RS05995,WP_050038294.1,RsmB/NOP family class I SAM-dependent RNA methyltransferase
ACNO8S_RS06000,WP_079980829.1,proteasome assembly chaperone family protein
ACNO8S_RS06005,WP_050037941.1,signal peptide peptidase SppA
ACNO8S_RS06010,WP_014040162.1,DUF373 family protein
ACNO8S_RS06015,WP_014040163.1,diphthine--ammonia ligase
ACNO8S_RS06020,WP_023843233.1,sugar phosphate nucleotidyltransferase
ACNO8S_RS06025,WP_146417317.1,NUDIX hydrolase
ACNO8S_RS06030,WP_050007297.1,methylmalonyl-CoA epimerase
ACNO8S_RS06035,WP_050037945.1,acyl-CoA mutase large subunit family protein
ACNO8S_RS06040,WP_014040168.1,FKBP-type peptidyl-prolyl cis-trans isomerase
ACNO8S_RS06045,WP_420182651.1,GNAT family N-acetyltransferase
ACNO8S_RS06050,WP_420182652.1,helix-turn-helix domain-containing protein
ACNO8S_RS06055,WP_420182653.1,ABC transporter ATP-binding protein
ACNO8S_RS06060,WP_336357983.1,ABC transporter ATP-binding protein
ACNO8S_RS06065,WP_050037948.1,branched-chain amino acid ABC transporter permease
ACNO8S_RS06070,WP_050037949.1,branched-chain amino acid ABC transporter permease
ACNO8S_RS06075,WP_420182654.1,ABC transporter substrate-binding protein
ACNO8S_RS06080,WP_420182655.1,SDR family oxidoreductase
ACNO8S_RS06085,WP_420182656.1,AMP-binding protein
ACNO8S_RS06090,WP_151103299.1,MFS transporter
ACNO8S_RS06095,WP_005534748.1,phosphoadenosine phosphosulfate reductase family protein
ACNO8S_RS06100,WP_008309491.1,stage II sporulation protein M
ACNO8S_RS06105,WP_008309489.1,DUF7110 family protein
ACNO8S_RS06110,WP_014040180.1,2Fe-2S iron-sulfur cluster-binding protein
ACNO8S_RS06115,WP_151103300.1,geranylgeranyl reductase family protein
ACNO8S_RS06120,WP_050037955.1,type IV pilin
ACNO8S_RS06125,WP_050037956.1,amidohydrolase
ACNO8S_RS06130,WP_008309480.1,uS10/mL48 family ribosomal protein
ACNO8S_RS06135,WP_008309479.1,bis(5'-nucleosyl)-tetraphosphatase
ACNO8S_RS06140,WP_225306753.1,DUF4013 domain-containing protein
ACNO8S_RS06145,WP_050007300.1,DUF5787 family protein
ACNO8S_RS06150,WP_004516865.1,DUF5797 family protein
ACNO8S_RS06155,WP_420182657.1,ABC transporter permease
ACNO8S_RS06160,WP_014040188.1,ABC transporter ATP-binding protein
ACNO8S_RS06165,WP_050037959.1,LolA family protein
ACNO8S_RS06170,WP_023843238.1,Mut7-C RNAse domain-containing protein
ACNO8S_RS06175,WP_420182658.1,DNA polymerase/3'-5' exonuclease PolX
ACNO8S_RS06180,WP_420182659.1,DUF5788 family protein
ACNO8S_RS06185,WP_420182660.1,hypothetical protein
ACNO8S_RS06190,WP_255359471.1,DUF7503 family protein
ACNO8S_RS06195,WP_420182661.1,response regulator
ACNO8S_RS06200,WP_420182662.1,rhomboid family intramembrane serine protease
ACNO8S_RS06205,WP_174878658.1,endonuclease V
ACNO8S_RS06210,WP_014040198.1,SDR family oxidoreductase
ACNO8S_RS06215,WP_064287971.1,ArsA family ATPase
ACNO8S_RS06220,WP_004516852.1,DUF7563 family protein
ACNO8S_RS06225,WP_420182663.1,ATP-dependent DNA helicase
ACNO8S_RS06230,WP_004516850.1,TATA-box-binding protein
ACNO8S_RS06235,WP_014040201.1,TRAM domain-containing protein
ACNO8S_RS06240,WP_014040202.1,succinyl-CoA:mesaconate CoA-transferase
ACNO8S_RS06245,WP_050037967.1,methylaspartate mutase subunit S
ACNO8S_RS06250,WP_191449366.1,methylaspartate mutase subunit E
ACNO8S_RS06255,WP_191449367.1,methylaspartate ammonia-lyase
ACNO8S_RS06260,WP_420182664.1,2-methylfumaryl-CoA hydratase
ACNO8S_RS06265,WP_420182665.1,L-malyl-CoA/beta-methylmalyl-CoA lyase
ACNO8S_RS06270,WP_014040207.1,pyridoxal phosphate-dependent aminotransferase
ACNO8S_RS06275,WP_004961837.1,hypothetical protein
ACNO8S_RS06280,WP_014040208.1,CinA family protein
ACNO8S_RS06285,WP_008309440.1,metal-dependent hydrolase
ACNO8S_RS06290,WP_420182666.1,PHP-associated domain-containing protein
ACNO8S_RS06295,WP_004516837.1,DUF7565 family protein
ACNO8S_RS06300,WP_004516836.1,transcription elongation factor Spt5
ACNO8S_RS06305,WP_004592944.1,protein translocase SEC61 complex subunit gamma
ACNO8S_RS06310,WP_420182667.1,methyl-accepting chemotaxis protein
ACNO8S_RS06315,WP_420182668.1,ABC transporter substrate-binding protein
ACNO8S_RS06320,WP_004592941.1,cell division protein FtsZ
ACNO8S_RS06325,WP_420182669.1,D-aminoacyl-tRNA deacylase
ACNO8S_RS06330,WP_420182670.1,sodium:calcium antiporter
ACNO8S_RS06335,WP_420182671.1,shikimate dehydrogenase
ACNO8S_RS06340,WP_008309421.1,helix-hairpin-helix domain-containing protein
ACNO8S_RS06345,WP_336330070.1,aminodeoxychorismate synthase%2C component I
ACNO8S_RS06350,WP_420182672.1,anthranilate synthase component II
ACNO8S_RS06355,WP_420182673.1,aminotransferase class IV
ACNO8S_RS06360,WP_008309416.1,alpha-amylase domain-containing protein
ACNO8S_RS06365,WP_420182674.1,saccharopine dehydrogenase family protein
ACNO8S_RS06370,WP_050037982.1,Rieske (2Fe-2S) protein
ACNO8S_RS06375,WP_004592932.1,transcriptional regulator
ACNO8S_RS06380,WP_014040221.1,universal stress protein
ACNO8S_RS06385,WP_050007125.1,FAD-dependent oxidoreductase
ACNO8S_RS06390,WP_151146412.1,2-oxoacid:acceptor oxidoreductase subunit alpha
ACNO8S_RS06395,WP_151103327.1,2-oxoacid:ferredoxin oxidoreductase subunit beta
ACNO8S_RS06400,WP_050037986.1,methyltransferase domain-containing protein
ACNO8S_RS06405,WP_420182785.1,cryptochrome/photolyase family protein
ACNO8S_RS06410,WP_014040227.1,metal-dependent hydrolase
ACNO8S_RS06415,WP_064287993.1,hypothetical protein
ACNO8S_RS06420,WP_420182675.1,hypothetical protein
ACNO8S_RS06425,WP_014040230.1,digeranylgeranylglycerophospholipid reductase
ACNO8S_RS06430,WP_050037989.1,NAD(+)/NADH kinase
ACNO8S_RS06435,WP_420182676.1,DUF7313 family protein
ACNO8S_RS06440,WP_129755103.1,DUF7317 family protein
ACNO8S_RS06445,WP_004517812.1,DUF7314 family protein
ACNO8S_RS06450,WP_014040232.1,DUF7315 family membrane protein
ACNO8S_RS06455,WP_014040233.1,cytochrome bc complex cytochrome b subunit
ACNO8S_RS06460,WP_008309387.1,cytochrome b
ACNO8S_RS06465,WP_151146403.1,Rieske 2Fe-2S domain-containing protein
ACNO8S_RS06470,WP_014040235.1,DUF7318 family protein
ACNO8S_RS06475,WP_420182677.1,halocyanin domain-containing protein
ACNO8S_RS06480,WP_420182678.1,DUF7319 domain-containing protein
ACNO8S_RS06485,WP_064287997.1,DUF7321 family protein
ACNO8S_RS06490,WP_420182679.1,universal stress protein
ACNO8S_RS06495,WP_420182680.1,endonuclease III
ACNO8S_RS06500,WP_044951813.1,GNAT family N-acetyltransferase
ACNO8S_RS06505,WP_044951815.1,GNAT family N-acetyltransferase
ACNO8S_RS06510,WP_129755105.1,redoxin domain-containing protein
ACNO8S_RS06515,WP_008309371.1,PRC-barrel domain-containing protein
ACNO8S_RS06520,WP_023843248.1,DHH family phosphoesterase
ACNO8S_RS06530,WP_151103337.1,YihY/virulence factor BrkB family protein
ACNO8S_RS06535,WP_420182681.1,GNAT family N-acetyltransferase
ACNO8S_RS06540,WP_014040247.1,hypothetical protein
ACNO8S_RS06545,WP_050037996.1,IMP dehydrogenase
ACNO8S_RS06550,WP_014040250.1,DUF5794 domain-containing protein
ACNO8S_RS06555,WP_004961693.1,DUF5795 family protein
ACNO8S_RS06565,WP_420182682.1,carbonic anhydrase
ACNO8S_RS06570,WP_420182683.1,chorismate mutase
ACNO8S_RS06575,WP_420182684.1,shikimate kinase
ACNO8S_RS06580,WP_050007114.1,hypothetical protein
ACNO8S_RS06585,WP_256369578.1,hypothetical protein
ACNO8S_RS06590,WP_014040256.1,potassium channel family protein
ACNO8S_RS06595,WP_050038001.1,potassium transporter TrkG
ACNO8S_RS06600,WP_014040258.1,hypothetical protein
ACNO8S_RS06605,WP_050038002.1,TrkH family potassium uptake protein
ACNO8S_RS06610,WP_050007113.1,universal stress protein
ACNO8S_RS06615,WP_050038003.1,amino acid permease
ACNO8S_RS06620,WP_420182685.1,hypothetical protein
ACNO8S_RS06625,WP_420182686.1,cell surface protein
