locus_tag,protein_id,product
ACAH01_RS04060,WP_372480320.1,DUF4129 domain-containing protein
ACAH01_RS04065,WP_372480321.1,DUF58 domain-containing protein
ACAH01_RS04070,WP_372480322.1,hypothetical protein
ACAH01_RS04075,WP_372480323.1,hypothetical protein
ACAH01_RS04080,WP_372480324.1,oligopeptide/dipeptide ABC transporter ATP-binding protein
ACAH01_RS04085,WP_372480325.1,ABC transporter ATP-binding protein
ACAH01_RS04090,WP_153554274.1,ABC transporter permease
ACAH01_RS04095,WP_372480326.1,ABC transporter permease
ACAH01_RS04100,WP_372480327.1,aldo/keto reductase
ACAH01_RS04105,WP_372480328.1,class I SAM-dependent methyltransferase
ACAH01_RS04110,WP_372480329.1,methyl-accepting chemotaxis protein
ACAH01_RS04115,WP_170092441.1,aldose 1-epimerase
ACAH01_RS04120,WP_372480330.1,IclR family transcriptional regulator
ACAH01_RS04125,WP_153554267.1,galactonate dehydratase
ACAH01_RS04130,WP_372480331.1,aminotransferase class V-fold PLP-dependent enzyme
ACAH01_RS04135,WP_372480332.1,metal-dependent hydrolase
ACAH01_RS04140,WP_170092437.1,hypothetical protein
ACAH01_RS04145,WP_372480333.1,DUF4350 domain-containing protein
ACAH01_RS04150,WP_372480334.1,AAA family ATPase
ACAH01_RS04155,WP_372480335.1,hypothetical protein
ACAH01_RS04160,WP_372480336.1,hypothetical protein
ACAH01_RS04165,WP_372480337.1,DUF58 domain-containing protein
ACAH01_RS04170,WP_170092431.1,hypothetical protein
ACAH01_RS04175,WP_372480338.1,hypothetical protein
ACAH01_RS04180,WP_372480339.1,hypothetical protein
ACAH01_RS04185,WP_372480340.1,dTDP-4-dehydrorhamnose reductase
ACAH01_RS04190,WP_372480341.1,L-2-hydroxyglutarate oxidase
ACAH01_RS04195,WP_372480342.1,cupin domain-containing protein
ACAH01_RS04200,WP_170092425.1,glucose-1-phosphate thymidylyltransferase
ACAH01_RS04205,WP_372480343.1,hypothetical protein
ACAH01_RS04210,WP_372480344.1,NAD-dependent epimerase/dehydratase family protein
ACAH01_RS04215,NA,glycosyltransferase family 2 protein
ACAH01_RS04220,WP_372480345.1,winged helix-turn-helix transcriptional regulator
ACAH01_RS04225,WP_372480346.1,alpha-glucosidase
ACAH01_RS04230,WP_372480347.1,alpha-glucosidase
ACAH01_RS04235,WP_372480348.1,ABC transporter substrate-binding protein
ACAH01_RS04240,WP_170095223.1,ABC transporter permease
ACAH01_RS04245,WP_372480349.1,ABC transporter permease
ACAH01_RS04250,WP_372480350.1,ABC transporter ATP-binding protein
ACAH01_RS04255,WP_372480351.1,ABC transporter ATP-binding protein
ACAH01_RS04260,WP_012807589.1,hypothetical protein
ACAH01_RS04265,WP_372480352.1,RNA-guided endonuclease InsQ/TnpB family protein
ACAH01_RS04270,WP_372480353.1,universal stress protein
ACAH01_RS04275,WP_372480354.1,TrmB family transcriptional regulator
ACAH01_RS04280,WP_372480355.1,hypothetical protein
ACAH01_RS04285,WP_372480356.1,isochorismate synthase MenF
ACAH01_RS04290,WP_372480357.1,BGTF surface domain-containing protein
ACAH01_RS04295,WP_372480358.1,BGTF surface domain-containing protein
ACAH01_RS04300,WP_372480359.1,S8 family serine peptidase
ACAH01_RS04305,WP_372480360.1,ArsR/SmtB family transcription factor
ACAH01_RS04310,WP_372480361.1,BGTF surface domain-containing protein
ACAH01_RS04315,WP_372480362.1,hydantoinase/oxoprolinase family protein
ACAH01_RS04320,WP_372480363.1,hydantoinase B/oxoprolinase family protein
ACAH01_RS04325,WP_372480364.1,DUF4129 domain-containing protein
ACAH01_RS04330,WP_372480365.1,hypothetical protein
ACAH01_RS04335,WP_372480366.1,DUF58 domain-containing protein
ACAH01_RS04340,WP_372480367.1,hypothetical protein
ACAH01_RS04345,WP_372480368.1,AAA family ATPase
ACAH01_RS04355,WP_372480369.1,DUF2070 family protein
ACAH01_RS04360,WP_372480370.1,GMP synthase subunit A
ACAH01_RS04365,WP_372480371.1,hypothetical protein
ACAH01_RS04370,WP_153554233.1,DUF192 domain-containing protein
ACAH01_RS04375,WP_372480372.1,(R)-citramalate synthase
ACAH01_RS04380,WP_170095201.1,DUF6775 family putative metallopeptidase
ACAH01_RS04385,WP_372480373.1,class I SAM-dependent methyltransferase
ACAH01_RS04390,WP_170095199.1,thiamine-phosphate synthase family protein
ACAH01_RS04395,WP_170095198.1,dCTP deaminase
ACAH01_RS04400,WP_170095197.1,peptidyl-tRNA hydrolase Pth2
ACAH01_RS04405,WP_153554227.1,archaeal proteasome endopeptidase complex subunit alpha
ACAH01_RS04410,WP_153554226.1,archaeal proteasome endopeptidase complex subunit beta
ACAH01_RS04415,WP_372480374.1,tRNA pseudouridine(13) synthase TruD
ACAH01_RS04420,WP_153554224.1,DUF2103 domain-containing protein
ACAH01_RS04425,WP_372480375.1,TMEM165/GDT1 family protein
ACAH01_RS04430,WP_049940679.1,50S ribosomal protein L37ae
ACAH01_RS04435,WP_012807557.1,DNA-directed RNA polymerase subunit P
ACAH01_RS04440,WP_372480376.1,KEOPS complex subunit Pcc1
ACAH01_RS04445,WP_372480377.1,bacterio-opsin activator domain-containing protein
ACAH01_RS04450,WP_372480378.1,hypothetical protein
ACAH01_RS04455,WP_170095191.1,aldo/keto reductase
ACAH01_RS04460,WP_012807552.1,prefoldin subunit beta
ACAH01_RS04465,WP_153554216.1,DUF3194 domain-containing protein
ACAH01_RS04470,WP_012807550.1,hypothetical protein
ACAH01_RS04475,WP_372480379.1,hypothetical protein
ACAH01_RS04480,WP_372480380.1,hypothetical protein
ACAH01_RS04485,WP_153554213.1,bifunctional nuclease family protein
ACAH01_RS04490,WP_372480381.1,RNA-guided endonuclease InsQ/TnpB family protein
ACAH01_RS04495,WP_255318004.1,hypothetical protein
ACAH01_RS04500,WP_372480382.1,sulfide-dependent adenosine diphosphate thiazole synthase
ACAH01_RS04505,WP_372480383.1,AAA family ATPase
ACAH01_RS04510,WP_372480384.1,4-phosphopantoate--beta-alanine ligase
ACAH01_RS04515,WP_153554209.1,sugar porter family MFS transporter
ACAH01_RS04520,WP_372480385.1,pantoate kinase
ACAH01_RS04525,WP_372480386.1,hypothetical protein
ACAH01_RS04530,WP_372480387.1,DUF2092 domain-containing protein
ACAH01_RS04535,WP_153554206.1,ABC transporter ATP-binding protein
ACAH01_RS04540,WP_170095182.1,ABC transporter permease
ACAH01_RS04545,WP_372480388.1,M48 family metallopeptidase
ACAH01_RS04550,WP_372480389.1,hypothetical protein
ACAH01_RS04555,WP_372480390.1,RNA-guided endonuclease InsQ/TnpB family protein
ACAH01_RS04560,WP_372480391.1,TRAM domain-containing protein
ACAH01_RS04565,WP_170095179.1,YkgJ family cysteine cluster protein
ACAH01_RS04570,WP_372480392.1,MBL fold metallo-hydrolase
ACAH01_RS04575,WP_018256205.1,helix-turn-helix domain-containing protein
ACAH01_RS04580,WP_153554199.1,class I SAM-dependent methyltransferase
ACAH01_RS04585,WP_170095177.1,glycosyltransferase family 2 protein
ACAH01_RS04590,WP_170095176.1,amidohydrolase family protein
ACAH01_RS04595,WP_372480790.1,thermosome subunit alpha
ACAH01_RS04600,WP_372480393.1,DUF5059 domain-containing protein
ACAH01_RS04605,WP_372480394.1,S-adenosyl-l-methionine hydroxide adenosyltransferase family protein
ACAH01_RS04610,WP_372480395.1,nicotinamide-nucleotide adenylyltransferase
ACAH01_RS04615,WP_170095172.1,ATP-dependent protease LonB
ACAH01_RS04620,WP_372480396.1,lysostaphin resistance A-like protein
ACAH01_RS04625,WP_372480397.1,hypothetical protein
ACAH01_RS04630,WP_372480398.1,hypothetical protein
ACAH01_RS04635,WP_170095167.1,hypothetical protein
ACAH01_RS04640,WP_372480399.1,DNA repair protein NreA
ACAH01_RS04645,WP_015764138.1,hypothetical protein
ACAH01_RS04650,WP_372480400.1,preprotein translocase subunit TatA
ACAH01_RS04655,WP_372480401.1,DUF5789 family protein
ACAH01_RS04660,WP_372480402.1,hypothetical protein
ACAH01_RS04665,WP_153554185.1,transcription factor S
ACAH01_RS04670,WP_170095162.1,hypothetical protein
ACAH01_RS04675,WP_372480403.1,lysostaphin resistance A-like protein
ACAH01_RS04680,WP_153554182.1,tRNA (adenine-N1)-methyltransferase
ACAH01_RS04685,WP_372480404.1,nascent polypeptide-associated complex protein
ACAH01_RS04690,WP_372480405.1,PUA domain-containing protein
ACAH01_RS04695,WP_372480406.1,hypothetical protein
ACAH01_RS04700,WP_372480407.1,hypothetical protein
ACAH01_RS04705,WP_153554176.1,NYN domain-containing protein
ACAH01_RS04710,WP_372480408.1,ABC transporter permease
ACAH01_RS04715,WP_372480409.1,ABC transporter permease
ACAH01_RS04720,WP_372480410.1,ABC transporter ATP-binding protein
ACAH01_RS04725,WP_372480411.1,BMP family ABC transporter substrate-binding protein
ACAH01_RS04730,WP_372480412.1,beta-N-acetylhexosaminidase
ACAH01_RS04735,WP_372480413.1,GNAT family N-acetyltransferase
ACAH01_RS04740,WP_170095153.1,polysaccharide deacetylase family protein
ACAH01_RS04745,WP_208626831.1,4-hydroxy-tetrahydrodipicolinate synthase
ACAH01_RS04750,WP_170095151.1,4-hydroxy-tetrahydrodipicolinate reductase
ACAH01_RS04755,WP_372480414.1,hypothetical protein
ACAH01_RS04760,WP_372480415.1,2%2C3%2C4%2C5-tetrahydropyridine-2%2C6-dicarboxylate N-succinyltransferase
ACAH01_RS04765,WP_372480416.1,ferritin-like domain-containing protein
ACAH01_RS04770,WP_372480417.1,cytochrome c biogenesis CcdA family protein
ACAH01_RS04775,WP_372480418.1,TlpA family protein disulfide reductase
ACAH01_RS04780,WP_372480419.1,SCO family protein
ACAH01_RS04785,WP_372480420.1,diaminopimelate decarboxylase
ACAH01_RS04790,WP_372480421.1,M20 family metallopeptidase
ACAH01_RS04795,WP_372480422.1,phosphoribosyltransferase
ACAH01_RS04800,WP_170095142.1,helix-turn-helix domain-containing protein
ACAH01_RS04805,WP_372480423.1,alpha/beta fold hydrolase
ACAH01_RS04810,WP_170095140.1,MFS transporter
ACAH01_RS04815,WP_372480424.1,hypothetical protein
ACAH01_RS04820,WP_372480425.1,helix-turn-helix domain-containing protein
ACAH01_RS04825,WP_372480426.1,adenylosuccinate lyase
ACAH01_RS04830,WP_372480427.1,PrsW family intramembrane metalloprotease
ACAH01_RS04835,WP_372480428.1,hypothetical protein
ACAH01_RS04840,WP_372480429.1,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
ACAH01_RS04845,WP_170095133.1,PAS domain-containing protein
ACAH01_RS04850,WP_170095132.1,hypothetical protein
ACAH01_RS04855,WP_346775264.1,HalOD1 output domain-containing protein
ACAH01_RS04860,WP_372480430.1,PAS domain S-box protein
ACAH01_RS04865,WP_372480431.1,SHOCT domain-containing protein
ACAH01_RS04870,WP_372480432.1,hypothetical protein
ACAH01_RS04875,WP_372480433.1,glycosyl hydrolase family 18 protein
ACAH01_RS04880,NA,folylpolyglutamate synthase/dihydrofolate synthase family protein
ACAH01_RS04885,WP_372480791.1,dihydropteroate synthase
ACAH01_RS04890,WP_372480434.1,hypothetical protein
ACAH01_RS04895,WP_170095125.1,class I SAM-dependent methyltransferase
ACAH01_RS04900,WP_372480435.1,DEAD/DEAH box helicase
ACAH01_RS04905,WP_372480436.1,glycosyltransferase family 4 protein
ACAH01_RS04910,WP_372480437.1,Yip1 family protein
ACAH01_RS04915,WP_170095122.1,hypothetical protein
ACAH01_RS04920,WP_372480438.1,prolyl oligopeptidase family serine peptidase
ACAH01_RS04925,WP_170095120.1,hypothetical protein
ACAH01_RS04930,WP_372480439.1,hypothetical protein
ACAH01_RS04935,WP_170095118.1,SHOCT domain-containing protein
ACAH01_RS04940,WP_170095117.1,NAD(P)-dependent glycerol-1-phosphate dehydrogenase
ACAH01_RS04945,WP_372480440.1,hypothetical protein
ACAH01_RS04950,WP_372480441.1,NAD-dependent epimerase/dehydratase family protein
ACAH01_RS04955,WP_372480442.1,NUDIX hydrolase
ACAH01_RS04960,WP_372480443.1,type II toxin-antitoxin system VapC family toxin
ACAH01_RS04965,WP_372480444.1,AbrB/MazE/SpoVT family DNA-binding domain-containing protein
ACAH01_RS04970,WP_372480445.1,glutamate synthase large subunit
ACAH01_RS04975,WP_153554133.1,Glu/Leu/Phe/Val dehydrogenase
ACAH01_RS04980,WP_372480446.1,right-handed parallel beta-helix repeat-containing protein
ACAH01_RS04985,WP_372480447.1,proline--tRNA ligase
ACAH01_RS04990,WP_372480448.1,hypothetical protein
ACAH01_RS04995,WP_170095108.1,hypothetical protein
ACAH01_RS05000,WP_372480449.1,hypothetical protein
ACAH01_RS05005,WP_372480450.1,beta-CASP ribonuclease aCPSF1
ACAH01_RS05010,WP_372480451.1,amidohydrolase
ACAH01_RS05015,WP_170095104.1,geranylgeranyl reductase family protein
ACAH01_RS05020,WP_170095103.1,2Fe-2S iron-sulfur cluster binding domain-containing protein
ACAH01_RS05025,WP_170095102.1,hypothetical protein
ACAH01_RS05030,WP_153554123.1,phosphoadenosine phosphosulfate reductase family protein
ACAH01_RS05035,WP_170095101.1,hypothetical protein
ACAH01_RS05040,WP_372480452.1,hypothetical protein
ACAH01_RS05045,WP_372480453.1,hypothetical protein
ACAH01_RS05050,WP_372480454.1,hypothetical protein
ACAH01_RS05055,WP_372480455.1,penicillin acylase family protein
ACAH01_RS05060,WP_372480456.1,hypothetical protein
ACAH01_RS05065,WP_153554117.1,VWA domain-containing protein
ACAH01_RS05070,WP_170095095.1,FHA domain-containing serine/threonine-protein kinase
ACAH01_RS05075,WP_372480457.1,PP2C family serine/threonine-protein phosphatase
ACAH01_RS05080,WP_372480458.1,zinc ribbon domain-containing protein
ACAH01_RS05085,WP_372480459.1,CoA ester lyase
ACAH01_RS05090,WP_372480460.1,Glu/Leu/Phe/Val dehydrogenase
ACAH01_RS05095,WP_208626730.1,SRPBCC family protein
ACAH01_RS05100,WP_372480461.1,methyl-accepting chemotaxis protein
ACAH01_RS05105,WP_372480462.1,NAD(P)/FAD-dependent oxidoreductase
ACAH01_RS05110,WP_170095087.1,DMT family transporter
ACAH01_RS05115,WP_208626726.1,RIO1 family regulatory kinase/ATPase
ACAH01_RS05120,WP_170095085.1,hypothetical protein
ACAH01_RS05125,WP_372480463.1,acyl-CoA dehydrogenase family protein
ACAH01_RS05130,WP_372480464.1,RtcB family protein
ACAH01_RS05135,WP_170095082.1,GNAT family N-acetyltransferase
ACAH01_RS05140,WP_372480465.1,redoxin domain-containing protein
ACAH01_RS05145,WP_372480466.1,endonuclease III
ACAH01_RS05150,WP_153554099.1,hypothetical protein
ACAH01_RS05155,WP_372480467.1,hypothetical protein
ACAH01_RS05160,WP_372480468.1,halocyanin domain-containing protein
ACAH01_RS05165,WP_372480469.1,hypothetical protein
ACAH01_RS05170,WP_372480470.1,ubiquinol-cytochrome c reductase iron-sulfur subunit
ACAH01_RS05175,WP_170095075.1,cytochrome bc complex cytochrome b subunit
ACAH01_RS05180,WP_170095074.1,cytochrome bc complex cytochrome b subunit
ACAH01_RS05185,WP_153554092.1,hypothetical protein
ACAH01_RS05190,WP_170095073.1,hypothetical protein
ACAH01_RS05195,WP_170095072.1,hypothetical protein
ACAH01_RS05200,WP_372480471.1,ATP-NAD kinase
ACAH01_RS05205,WP_372480472.1,digeranylgeranylglycerophospholipid reductase
ACAH01_RS05210,WP_372480473.1,hypothetical protein
ACAH01_RS05215,NA,AAC(3) family N-acetyltransferase
ACAH01_RS05220,WP_170095068.1,2-oxoacid:ferredoxin oxidoreductase subunit beta
ACAH01_RS05225,WP_372480474.1,2-oxoacid:acceptor oxidoreductase subunit alpha
ACAH01_RS05230,WP_208626706.1,FAD-dependent oxidoreductase
ACAH01_RS05235,WP_015764032.1,transcriptional regulator
ACAH01_RS05240,WP_015764031.1,Rieske (2Fe-2S) protein
ACAH01_RS05245,WP_170095064.1,hypothetical protein
ACAH01_RS05250,WP_170095063.1,GNAT family N-acetyltransferase
ACAH01_RS05255,WP_153554007.1,HD domain-containing protein
ACAH01_RS05260,WP_372480475.1,LysE family translocator
ACAH01_RS05265,WP_153554008.1,coiled-coil protein
ACAH01_RS05270,WP_372480476.1,hydrolase
ACAH01_RS05275,WP_170095060.1,hypothetical protein
ACAH01_RS05280,WP_153554010.1,DUF371 domain-containing protein
ACAH01_RS05285,WP_372480477.1,aldo/keto reductase
ACAH01_RS05290,WP_153554012.1,uS10/mL48 family ribosomal protein
ACAH01_RS05295,WP_164731970.1,hypothetical protein
ACAH01_RS05300,WP_153554013.1,bis(5'-nucleosyl)-tetraphosphatase
ACAH01_RS05305,WP_170095058.1,hypothetical protein
ACAH01_RS05310,WP_372480478.1,DUF5787 family protein
ACAH01_RS05315,WP_153554016.1,DUF5797 family protein
ACAH01_RS05320,WP_372480479.1,ribonuclease HI
ACAH01_RS05325,WP_153554018.1,rnhA operon protein
ACAH01_RS05330,WP_153554019.1,PadR family transcriptional regulator
ACAH01_RS05335,WP_018258046.1,inorganic diphosphatase
ACAH01_RS05340,WP_372480480.1,alkaline phosphatase family protein
ACAH01_RS05345,WP_153554021.1,tubulin/FtsZ family protein
ACAH01_RS05350,WP_372480481.1,hypothetical protein
ACAH01_RS05355,WP_372480482.1,ABC transporter
ACAH01_RS05360,WP_372480483.1,ATPase%2C T2SS/T4P/T4SS family
ACAH01_RS05365,WP_372480484.1,hypothetical protein
ACAH01_RS05370,WP_372480485.1,hypothetical protein
ACAH01_RS05375,WP_372480486.1,hypothetical protein
ACAH01_RS05380,WP_372480487.1,hypothetical protein
ACAH01_RS05385,WP_372480488.1,hypothetical protein
ACAH01_RS05390,WP_372480489.1,DUF5791 family protein
ACAH01_RS05395,WP_372480490.1,SDR family oxidoreductase
ACAH01_RS05400,WP_372480491.1,bifunctional oligoribonuclease/PAP phosphatase NrnA
ACAH01_RS05405,WP_372480492.1,aldo/keto reductase
ACAH01_RS05410,WP_170095042.1,HVO_0758 family zinc finger protein
ACAH01_RS05415,WP_372480792.1,MFS transporter
ACAH01_RS05420,WP_372480493.1,glycosyl transferase family 2
ACAH01_RS05425,WP_372480494.1,aspartate--tRNA(Asn) ligase
ACAH01_RS05430,WP_208627365.1,PLDc N-terminal domain-containing protein
ACAH01_RS05435,WP_170095038.1,hypothetical protein
ACAH01_RS05440,WP_018257935.1,UPF0175 family protein
ACAH01_RS05445,WP_170095037.1,MGMT family protein
ACAH01_RS05450,WP_372480495.1,indole-3-glycerol phosphate synthase
ACAH01_RS05455,WP_372480496.1,tryptophan synthase subunit beta
ACAH01_RS05460,WP_170095034.1,tryptophan synthase subunit alpha
ACAH01_RS05465,WP_153554043.1,2-amino-3%2C7-dideoxy-D-threo-hept-6-ulosonate synthase
ACAH01_RS05470,WP_153554044.1,3-dehydroquinate synthase II
ACAH01_RS05475,WP_153554045.1,zinc ribbon domain-containing protein
ACAH01_RS05480,WP_372480497.1,type I 3-dehydroquinate dehydratase
ACAH01_RS05485,WP_372480498.1,site-specific DNA-methyltransferase
ACAH01_RS05490,WP_372480499.1,methyl-accepting chemotaxis protein
ACAH01_RS05495,WP_153554049.1,transcription initiation factor IIB family protein
ACAH01_RS05500,WP_372480500.1,lysylphosphatidylglycerol synthase domain-containing protein
ACAH01_RS05505,WP_372480501.1,radical SAM protein
ACAH01_RS05510,WP_372480502.1,hypothetical protein
ACAH01_RS05515,WP_015763973.1,HAD family hydrolase
ACAH01_RS05520,WP_372480503.1,ABC transporter permease
ACAH01_RS05525,WP_170095025.1,ABC transporter ATP-binding protein
ACAH01_RS05530,WP_372480504.1,DUF429 domain-containing protein
ACAH01_RS05535,WP_170095022.1,hypothetical protein
ACAH01_RS05540,NA,Hsp20/alpha crystallin family protein
ACAH01_RS05545,WP_372480505.1,NAD(P)/FAD-dependent oxidoreductase
ACAH01_RS05550,WP_372480506.1,luciferase
ACAH01_RS05555,WP_170095019.1,CoA pyrophosphatase
ACAH01_RS05560,WP_208626634.1,hypothetical protein
ACAH01_RS05565,WP_372480507.1,phosphotransferase family protein
ACAH01_RS05570,WP_372480508.1,HAD family hydrolase
ACAH01_RS05575,WP_170095015.1,phosphoglycerol geranylgeranyltransferase
ACAH01_RS05580,WP_372480509.1,AAA family ATPase
ACAH01_RS05585,WP_372480510.1,hypothetical protein
ACAH01_RS05590,WP_372480793.1,Rieske (2Fe-2S) protein
ACAH01_RS05595,WP_372480511.1,DNA topoisomerase I
ACAH01_RS05600,WP_372480512.1,UDP-N-acetyl glucosamine 2-epimerase
ACAH01_RS05605,WP_372480513.1,hypothetical protein
ACAH01_RS05610,WP_372480514.1,dihydrofolate reductase
ACAH01_RS05615,WP_372480515.1,thymidylate synthase
ACAH01_RS05620,WP_372480516.1,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
ACAH01_RS05625,WP_372480517.1,hypothetical protein
ACAH01_RS05630,WP_170095006.1,bZIP transcription factor
ACAH01_RS05635,WP_372480518.1,chromosome segregation protein SMC
ACAH01_RS05640,WP_372480519.1,segregation/condensation protein A
ACAH01_RS05645,WP_372480520.1,AEC family transporter
ACAH01_RS05650,WP_372480521.1,PhzF family phenazine biosynthesis protein
ACAH01_RS05655,WP_170095001.1,phosphoenolpyruvate synthase
ACAH01_RS05660,WP_372480522.1,RAD55 family ATPase
ACAH01_RS05665,WP_372480523.1,tyrosine decarboxylase MfnA
ACAH01_RS05670,WP_170094998.1,VTT domain-containing protein
ACAH01_RS05675,WP_372480524.1,methionine--tRNA ligase
ACAH01_RS05680,WP_170094996.1,hypothetical protein
ACAH01_RS05685,WP_372480525.1,NfeD family protein
ACAH01_RS05690,WP_153554083.1,SPFH domain-containing protein
ACAH01_RS05695,WP_015763936.1,winged helix-turn-helix transcriptional regulator
ACAH01_RS05700,WP_170094994.1,hypothetical protein
ACAH01_RS05705,WP_170094993.1,DUF5615 family PIN-like protein
ACAH01_RS05710,WP_372480526.1,DNA polymerase/3'-5' exonuclease PolX
ACAH01_RS05715,WP_372480527.1,DUF5788 family protein
ACAH01_RS05720,WP_372480528.1,hypothetical protein
ACAH01_RS05725,WP_372480529.1,L-malyl-CoA/beta-methylmalyl-CoA lyase
ACAH01_RS05730,WP_372480530.1,2-methylfumaryl-CoA hydratase
ACAH01_RS05735,WP_372480531.1,methylaspartate ammonia-lyase
ACAH01_RS05740,WP_170094987.1,methylaspartate mutase subunit E
ACAH01_RS05745,WP_153553993.1,methylaspartate mutase subunit S
ACAH01_RS05750,WP_170094986.1,succinyl-CoA:mesaconate CoA-transferase
ACAH01_RS05755,WP_372480532.1,DUF5658 family protein
ACAH01_RS05760,WP_372480533.1,hypothetical protein
ACAH01_RS05765,WP_372480534.1,PAS domain S-box protein
ACAH01_RS05770,WP_372480535.1,helicase C-terminal domain-containing protein
ACAH01_RS05775,WP_372480794.1,DUF6653 family protein
ACAH01_RS05780,WP_372480536.1,hypothetical protein
ACAH01_RS05785,WP_170094979.1,DsbA family protein
ACAH01_RS05790,WP_015763918.1,hypothetical protein
ACAH01_RS05795,WP_170094978.1,TRC40/GET3/ArsA family transport-energizing ATPase
ACAH01_RS05800,WP_372480537.1,DJ-1/PfpI family protein
ACAH01_RS05805,WP_208626565.1,SDR family oxidoreductase
ACAH01_RS05810,WP_372480538.1,hypothetical protein
ACAH01_RS05815,WP_372480539.1,endonuclease V
ACAH01_RS05820,WP_170094973.1,rhomboid family intramembrane serine protease
ACAH01_RS05825,WP_372480540.1,molybdenum cofactor guanylyltransferase
ACAH01_RS05830,WP_170094971.1,Xaa-Pro peptidase family protein
ACAH01_RS05835,WP_372480541.1,pyridoxal phosphate-dependent aminotransferase
ACAH01_RS05840,WP_372480542.1,hypothetical protein
ACAH01_RS05845,WP_170094969.1,CinA family protein
ACAH01_RS05850,WP_372480543.1,metal-dependent hydrolase
ACAH01_RS05855,WP_372480544.1,PHP-associated domain-containing protein
ACAH01_RS05860,WP_018258068.1,hypothetical protein
ACAH01_RS05865,WP_372480545.1,ABC transporter permease subunit
ACAH01_RS05870,WP_372480546.1,ABC transporter ATP-binding protein
ACAH01_RS05875,WP_170094965.1,hypothetical protein
ACAH01_RS05880,WP_153553970.1,transcription elongation factor Spt5
ACAH01_RS05885,WP_015763884.1,protein translocase SEC61 complex subunit gamma
ACAH01_RS05890,WP_208626545.1,hypothetical protein
ACAH01_RS05895,WP_153553968.1,cell division protein FtsZ
ACAH01_RS05900,WP_372480547.1,D-aminoacyl-tRNA deacylase
ACAH01_RS05905,WP_372480795.1,sodium:calcium antiporter
ACAH01_RS05910,WP_372480548.1,shikimate dehydrogenase
ACAH01_RS05915,WP_170094961.1,DUF4332 domain-containing protein
ACAH01_RS05920,WP_372480549.1,aminodeoxychorismate synthase%2C component I
ACAH01_RS05925,WP_170094959.1,aminodeoxychorismate/anthranilate synthase component II
ACAH01_RS05930,WP_372480550.1,aminotransferase class IV
ACAH01_RS05935,WP_372480551.1,hypothetical protein
ACAH01_RS05940,WP_372480552.1,hypothetical protein
ACAH01_RS05950,WP_015763873.1,metal-dependent transcriptional regulator
ACAH01_RS05955,WP_170094955.1,ferritin-like domain-containing protein
ACAH01_RS05960,WP_372480553.1,PKD domain-containing protein
ACAH01_RS05965,WP_372480554.1,glycosyl hydrolase family 18 protein
ACAH01_RS05970,WP_372480555.1,glycosyl hydrolase family 18 protein
ACAH01_RS05975,WP_372480556.1,PKD domain-containing protein
ACAH01_RS05980,WP_208626531.1,Fe-S cluster assembly protein SufD
ACAH01_RS05985,WP_372480557.1,Fe-S cluster assembly protein SufB
ACAH01_RS05990,WP_170094949.1,ABC transporter ATP-binding protein
ACAH01_RS05995,WP_372480558.1,hypothetical protein
ACAH01_RS06000,WP_372480559.1,GAF domain-containing sensor histidine kinase
ACAH01_RS06005,WP_372480560.1,MaoC family dehydratase
ACAH01_RS06010,WP_170094945.1,DUF5658 family protein
ACAH01_RS06015,WP_372480561.1,acyl-CoA carboxylase subunit beta
ACAH01_RS06020,WP_372480562.1,class 1 fructose-bisphosphatase
ACAH01_RS06025,WP_170094942.1,class I fructose-bisphosphate aldolase
ACAH01_RS06030,WP_170094941.1,3-hydroxyacyl-CoA dehydrogenase family protein
ACAH01_RS06035,WP_372480563.1,acyl-CoA dehydrogenase
ACAH01_RS06040,WP_208626516.1,hypothetical protein
ACAH01_RS06045,WP_170094938.1,PadR family transcriptional regulator
ACAH01_RS06050,WP_372480564.1,HTTM domain-containing protein
ACAH01_RS06055,WP_153553939.1,hypothetical protein
ACAH01_RS06060,WP_255317959.1,hypothetical protein
ACAH01_RS06065,WP_372480565.1,proteasome-activating nucleotidase
ACAH01_RS06070,WP_015763848.1,helix-turn-helix domain-containing protein
ACAH01_RS06075,WP_170094935.1,hypothetical protein
ACAH01_RS06080,WP_372480566.1,DNA double-strand break repair protein Mre11
ACAH01_RS06085,WP_372480567.1,DNA double-strand break repair ATPase Rad50
ACAH01_RS06090,WP_372480568.1,hypothetical protein
ACAH01_RS06095,WP_372480569.1,hypothetical protein
ACAH01_RS06100,WP_170094930.1,hypothetical protein
ACAH01_RS06105,WP_372480570.1,DNA polymerase domain-containing protein
ACAH01_RS06110,WP_170094928.1,GNAT family N-acetyltransferase
ACAH01_RS06115,WP_372480571.1,serine hydroxymethyltransferase
ACAH01_RS06120,WP_372480572.1,DUF6293 family protein
ACAH01_RS06125,WP_372480573.1,hypothetical protein
ACAH01_RS06130,WP_372480574.1,MBL fold metallo-hydrolase
ACAH01_RS06135,WP_372480575.1,methylmalonyl-CoA mutase
ACAH01_RS06140,WP_372480576.1,hypothetical protein
ACAH01_RS06145,WP_170094920.1,methylmalonyl-CoA epimerase
ACAH01_RS06150,WP_170094919.1,sugar phosphate nucleotidyltransferase
ACAH01_RS06155,WP_372480577.1,NAD(P)/FAD-dependent oxidoreductase
